序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
11,G3-R-E041-H3,G3-E041,000538-H3,云南白药,000538,医药,2025-12-31T18:54:32+08:00,渠道与品牌投入保持，不出现商誉或投资大额减值,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,1-弱相关,是,第2页：因不可控因素所致，公司将一如既往地严控关联交 易，保证公平、公正，价格公允。 公司独立董事对日常关联交 易实际发生情况与预计存在 较大差异的说明 我们对 2025 年度日常关联交易实际发生金额与预计金额差异较大 的情况进行了核查，经核查，我们认为：公司对 2025 年度实际发生的 日常关联交易的说明解释符合市场行情和公司的实际情况，已发生的 日常关联交易均为公司正常经营业务所需的交易，符合公司的经营和 发展战略要求，符合法律法规的规定。虽然实际发生金额因业务需求 等客观原因与原预计金额上限存在差异，但该等差异的出现确实因不 可控因素所致，已发生的日常关联交易公平、公正，交易价格公允， 不存在损…,日常销售交易可弱关联渠道维持，但未披露品牌投入、商誉或投资减值，增量证据有限；仅能建立较弱的渠道活动路径。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
12,G3-R-E045-H2,G3-E045,600276-H2,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,2-间接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-004 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知， 批准公司自主研发的 1 类创新药瑞拉芙普α注射液上市。现将相关情况公告如下： 一、药品的基本情况 药品名称：瑞拉芙普α注射液 剂型：注射剂 规格：300mg（6ml）/瓶 注册分类：治疗用生物制品…,创新药获批可经后续销售和产品结构变化影响创新药占比与毛利率，路径清晰但公告尚未披露实际销售或毛利率。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
13,G3-R-E045-H3,G3-E045,600276-H3,恒瑞医药,600276,医药,2026-01-08T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-01-08/1224923160.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-004 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知， 批准公司自主研发的 1 类创新药瑞拉芙普α注射液上市。现将相关情况公告如下： 一、药品的基本情况 药品名称：瑞拉芙普α注射液 剂型：注射剂 规格：300mg（6ml）/瓶 注册分类：治疗用生物制品…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
14,G3-R-E107-H1,G3-E107,09868-H1,小鹏汽车,09868,新能源汽车,2025-08-22T21:24:11+08:00,智能车交付量保持增长，新车型周期带动需求回升,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,1-弱相关,是,第1页：產生或因依賴該等內容而引致之任何損失承擔任何責任。 （於開曼群島註冊成立以不同投票權控制的有限公司） （股份代號：9868） 重續持續關連交易 與廣東匯天簽訂 2026 年合作框架協議 與廣東匯天訂立2026年合作框架協議 茲提述本公司日期為 2024 年 1 月 2 日的公告，內容有關與廣東匯天訂立 2024 年合作框架協議，該 協議將於 2025 年 12 月 31 日結束。 董事會宣佈，於2025 年8 月22 日，廣東小鵬與廣東匯天訂立2026年合作框架協議，将於2026年1 月1 日生效至2028年12 月31 日，據此，廣東小鵬及廣東匯天同意在飛行汽車的研發、製造、銷售 及售後服務…,飞行汽车合作需求和交易上限与小鹏整体新产品商业化同主题，但并非现有智能车交付或车型需求数据，对H1仅有弱关联。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
15,G3-R-E059-H2,G3-E059,002371-H2,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,0-无关,否,第1页：北方华创科技集团股份有限公司 募集资金管理办法 （2025 年 10 月 30 日，经第八届董事会第二十八次会议审议通过） 第一章 总则 第一条 为了规范北方华创科技集团股份有限公司（以下简称“公司”）募集资 金的管理和运用，保护投资者的权益，提高募集资金使用效率，依据《中华人民共 和国公司法》《中华人民共和国证券法》《上市公司募集资金监管规则》《深圳证 券交易所股票上市规则》等相关法律、法规、规范性文件和《北方华创科技集团股 份有限公司章程》（以下简称“《公司章程》”）的相关规定，并结合公司实际， 制定本办法。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
16,G3-R-E089-H2,G3-E089,603259-H2,药明康德,603259,医药,2024-01-30T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,0-无关,否,第2页：《关于对无锡药明康德新药开发股份有限公司股票交易异常波动问 询函的回复之签字页》 ___________________ Ge Li（李革） 年 月 日,问询回复现有证据只有签字页和程序性内容，未提供产能利用率、项目结构、价格或毛利率数据，与H2无关。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
17,G3-R-E059-H3,G3-E059,002371-H3,北方华创,002371,芯片半导体,2025-10-31T00:00:00+08:00,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,0-无关,否,第1页：北方华创科技集团股份有限公司 募集资金管理办法 （2025 年 10 月 30 日，经第八届董事会第二十八次会议审议通过） 第一章 总则 第一条 为了规范北方华创科技集团股份有限公司（以下简称“公司”）募集资 金的管理和运用，保护投资者的权益，提高募集资金使用效率，依据《中华人民共 和国公司法》《中华人民共和国证券法》《上市公司募集资金监管规则》《深圳证 券交易所股票上市规则》等相关法律、法规、规范性文件和《北方华创科技集团股 份有限公司章程》（以下简称“《公司章程》”）的相关规定，并结合公司实际， 制定本办法。,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
18,G3-R-E051-H1,G3-E051,688981-H1,中芯国际,688981,芯片半导体,2026-05-13T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,1-弱相关,是,第1页：或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 中芯国际集成电路制造有限公司（以下简称“公司”）拟向国家集成电路产 业投资基金股份有限公司、北京集成电路制造和装备股权投资中心（有限合伙）、 北京亦庄国际投资发展有限公司、中关村发展集团股份有限公司及北京工业发展 投资管理有限公司发行股份购买其所合计持有的中芯北方集成电路制造（北京） 有限公司 49%的股权（以下简称“本次交易”）。 上海证券交易所并购重组审核委员会（以下简称“上交所重组委”）于 2026 年 5 月 11 日召开 2026 年第 5 次并购重组审核委员会审议会议，对公司本次交易 的申请进行了审议。根据上交所重组委…,收购中芯北方股权与制造资产和产能同主题，但交易审核进展不直接反映晶圆出货、利用率或国产替代需求，对H1仅有弱关系。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
19,G3-R-E110-H3,G3-E110,688981-H3,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,2-间接相关,是,第1页：买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公司（以下简称“中关村发展”）、北京工业发展投资管理有限公司 （以下简称“北京工投”）等 5 名交易对方（以下单称或合称“交易对方”）合计持有的中 芯北方集成电路制造（北京）有限公司（以下简称“中芯北方”）49%股权（以下简称“标 的资产”，前述交易以下简称“本次交易”）。我们已认…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
20,G3-R-E118-H2,G3-E118,603986-H2,兆易创新,603986,芯片半导体,2025-08-23T00:00:00+08:00,毛利率随产品结构改善回升，不因存储价格波动持续走低,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,3-直接相关,是,"第2页：39 2.97 归属于上市公司股东的 净资产 17,239,898,549.79 16,498,507,838.97 4.49 本报告期 上年同期 本报告期比上年同期增 减(%) 营业收入 4,150,308,632.88 3,609,037,320.17 15.00 利润总额 596,079,141.41 527,876,598.04 12.92",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
21,G3-R-E069-H2,G3-E069,002371-H2,北方华创,002371,芯片半导体,2024-02-29T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,关于2019年股票期权与限制性股票激励计划第三个行权期采用自主行权模式的提示性公告,http://static.cninfo.com.cn/finalpage/2024-02-29/1219208962.PDF,0-无关,否,第1页：特别提示： 1.公司 2019 年股权激励计划期权代码：037855；,公告仅涉及治理、证券或其他流程事项，未提供回答该查询假设的有效业务证据。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
22,G3-R-E028-H1,G3-E028,09868-H1,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,3-直接相关,是,"第1页：數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年12月及第四季度 車輛交付數據。 2025年12月，小鵬汽車共交付智能電動汽車37,508 輛，同比增長2%。2025年全年總交 付量達到429,445輛，較前一年增長126%。 2025年全年，小鵬汽車在海外市場共交付智能電動汽車45,008輛，同比增長96%，並在 年底將其全球布局擴張至60個國家和地區。 值得注意的是，小鵬汽車在2025年交付的所有汽車預計能減少超過661萬噸的生命周期 溫室氣體排放，這相當於1.1億棵小樹十年的碳吸收量。 2025年，小鵬汽車加速擴張其自營充電網絡。新增超過1,100座充…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
23,G3-R-E064-H3,G3-E064,00175-H3,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,品牌与平台整合按计划推进，不出现大额整合损失,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,3-直接相关,是,第1页：會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 完成須予披露及關連交易 (1)極氪收購領克銷售股份；及 (2)極氪認購領克新增資本 茲提述吉利汽車控股有限公司 （ 「本公司」 ） 日期為二零二四年十一月十四日之公佈 （ 「該公 佈」 ） 及日期為二零二四年十二月二十日之通函 （ 「該通函」 ） ，內容有關須予披露及關連交 易 （即領克收購事項及領克注資事項） 。除文義另有所指外，本公佈所用詞彙與該公佈及 該通函所界定者具有相同涵義。 本公司董事會 （ 「董事會」…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
24,G3-R-E108-H1,G3-E108,688981-H1,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,3-直接相关,是,"第2页：15,916,850 11.9 营业利润 2,114,049 2,746,202 -23.0 利润总额 1,602,415 2,738,330 -41.5 归属于上市公司股东的 净利润 1,222,663 992,473 23.2 归属于上市公司股东的 扣除非经常性损益的净 利润 947,416 445,967 112.4 基本每股收益（元/股） 0.15 0.12 25.0 加权平均净资产收益率 （%） 0.81 0.68 增加 0.13 个百分点 2025 年 12 月 31 日 2024 年 12 月 31 日 增减变动 幅度 （％） 总资产 367,718,196 353,415,29…",业绩快报直接披露2025年平均产能利用率93.5%、同比提升8个百分点，直接对应H1的核心产能利用率变量。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
25,G3-R-E044-H2,G3-E044,688981-H2,中芯国际,688981,芯片半导体,2025-11-14T00:00:00+08:00,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,3-直接相关,是,第1页：A股代码：688981 A股简称：中芯国际 公告编号：2025-031 港股代码：00981 港股简称：中芯国际 中芯国际集成电路制造有限公司 关于 2025 年前三季度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈 述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。 一、本次计提减值准备的情况概述 中芯国际集成电路制造有限公司（以下简称“公司”）根据《企业会计准 则》以及公司会计政策的相关规定，为客观、公允地反映公司截至2025 年 9 月 30 日的合并财务状况及 2025 年前三季度的经营成果。基于谨慎性原则，公司 对合并范围内…,计提减值9.17亿元并等额减少利润总额，直接改变盈利结果，能够直接检验“折旧与资产压力不导致盈利持续恶化”的盈利质量假设。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
26,G3-R-E015-H2,G3-E015,600276-H2,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,1-弱相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-004 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司提交的 SHR4640 片药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、 药品的基本情况 药品名称：SHR4640 片 剂型：片剂 受理号：CXHS2500003、CXHS250000…,上市申请受理仅显示管线进展，需经历获批、商业化和产品结构变化后才可能影响创新药占比及毛利率，因果链较长，故仅弱相关但方向性路径可描述。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
