序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
11,G3-B056,G3-E084,EVT-002371-00029,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,第1页,"所审计， 与年度报告中披露的最终数据可能存在差异。敬请广大投资者谨慎决策， 注意投资风险。 一、2023年度主要财务数据和指标 单位：元 项 目 本报告期 上年同期 增减变动幅度 营业总收入 22,079,458,092.37 14,688,111,969.67 50.32% 营业利润 4,447,912,128.24 2,867,452,595.74 55.12% 利润总额 4,465,587,698.68 2,854,480,329.68 56.44% 归属于上市公司股东的净利润 3,899,069,987.91 2,352,726,657.86 65.73% 扣除非经常性损益后的归属于 上市公司股东的净利润 3,581,368,813.58 2,106,066,422.59 70.05% 基本每股收益 7.3623 4.4612 65.03% 加权平均净资产收益率 17.88% 12.96% 4.92% 项 目 本报告期末",是,营业收入同比,上升,50.32,50.32,%,2023,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
12,G3-B049,G3-E017,EVT-002371-00060,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,第1页,北方华创科技集团股份有限公司（以下简称“北方华创”或“公司” ）于2024 年4月29日召开第八届董事会第十次会议，审议通过了《关于2024年度日常关联 交易预计的议案》 ，关联董事李前先生、叶枫先生、孙福清先生作为本次关联交 易的关联董事，已依法回避表决。,是,订单金额,无法判断,51775.24,51775.24,万元,2023,"公告关联交易表披露2023年实际发生金额51,775.24万元，可作为订单金额事实抽取；未给出适用于该数值的同比变化口径，方向无法判断。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
13,G3-B041,G3-E088,EVT-603986-00004,兆易创新,603986,芯片半导体,2024-01-26T00:00:00+08:00,兆易创新2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-26/1219003543.PDF,第1页,"年归属于上市公司股东扣除非经常性损益后的净利润为 2,200 万元左右，与上年同期相比减少 188,753 万元左右， 同比降幅 98.85%左右。 3. 公司预计 2023 年度实现营业收入 57.66 亿元左右，与上年同期相比减少 23.64 亿元左右，同比下降 29.08%左右。 4. 本年度公司计提资产减值损失， 全年商誉、 存货等资产减值损失预计6.12 亿元左右。 一、本期业绩预告情况 （一）业绩预告期间 2023 年 1 月 1 日至 2023 年 12 月 31 日。 （二）业绩预告情况 1. 经财务部门初步测算， 预计 2023 年实现归属于上市公司股东的净利润为 15,500 万元左右，与上年同期相比减少 189,757 万元左右，同比降幅 92.45%左 右。 2. 预计 2023 年实现归属于上市公司股东的扣除非经常性损益的净利润为 2,200 万元左右，与上年同期相比减少 188,753 万元左右， 同",是,营业收入同比,下降,29.08,29.08,%,2023,业绩预告明确公司2023年营业收入约57.66亿元、同比下降约29.08%；按统一口径数值记录下降幅度绝对值，方向列标记下降。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
14,G3-B023,G3-E016,EVT-00175-00265,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,第1页,"發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTOMOBILE HOLDINGS LIMITED ( 273,125 35 （部） （部） (%) （部） （部） (%) 吉利 221,966 154,813 43 1,785,117 1,151,214 55 其中: 銀河 120,868 52,311 131 874,985 286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 37",是,销量或交付量同比,上升,35,35,%,2025-09,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
15,G3-B007,G3-E031,EVT-603259-00002,药明康德,603259,医药,2024-01-03T00:00:00+08:00,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,第1页,"重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
16,G3-B001,G3-E015,EVT-600276-00232,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,第1页,近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司提交的 SHR4640 片药品上市许可申请获国家药监局受理。,是,其他,无法判断,27987,27987,万元,截至2025-01,"正文明确披露SHR4640片相关研发项目累计投入约27,987万元，数值、单位和截至期可复核；无比较基准，变化方向为无法判断。",4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
17,G3-B039,G3-E060,EVT-002594-00159,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 540,588 316,510 3,837,632 2,736,259 40.25% 506,804 301,903 3,757,336 2,683,374 40.02% -乘用车 536,926 315,985 3,820,365 2,725,555 40.17% 504,003 301,378 3,740,930 2,672,728 39.97% -纯电动 208,859 172,746 1,588,206 1,413,198 12.38% 198,065 170,150 1,557,258 1,384,068 12.51% -插电式混合动力 328,067 143,239 2,232,159 1,312,357 70.09% 305,938 131,228 2,183,672 1,288,660 69.45% -商用车 3,662 525 17,267 10,7",是,销量或交付量同比,上升,40.02,40.02,%,2024-01至11,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
18,G3-B052,G3-E067,EVT-002371-00396,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,第1页,北方华创科技集团股份有限公司（以下简称“北方华创”或“公司”）于 2026 年 6 月 22 日召开第九届董事会第二次会议，审议通过了《关于放弃参股公 司增资优先认购权暨关联交易的议案》，关联董事李瑞先生已对该议案回避表决， 该议案已经公司独立董事专门会议审议通过。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
19,G3-B059,G3-E094,EVT-603986-00450,兆易创新,603986,芯片半导体,2026-03-31T00:00:00+08:00,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,第7页,"12 月31 日 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：元 币种：人民币 主要会计数据 2025年 2024年 本期比上 年同期增 减(%) 2023年 营业收入 9,203,463,124.58 7,355,977,677.11 25.12 5,760,823,414.65 利润总额 1,706,356,320.40 1,123,663,188.35 51.86 124,747,938.62 归属于上市公司股东的 净利润 1,648,022,651.70 1,102,542,801.68 49.47 161,141,224.88 归属于上市公司股东的 扣除非经常性损益的净 利润 1,469,196,552.72 1,030,479,348.71 42.57 27,400,630.30 经营活动产生的现金流 量净额 2,128,504,212.49 2,032,230,237.01 4.74 1,186",是,营业收入同比,上升,25.12,25.12,%,2025,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
20,G3-B038,G3-E113,EVT-002594-00313,比亚迪,002594,新能源汽车,2025-11-03T00:00:00+08:00,2025年10月产销快报,http://static.cninfo.com.cn/finalpage/2025-11-03/1224781922.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 429,808 536,134 3,643,377 3,297,044 10.50% 441,706 502,657 3,701,852 3,250,532 13.88% -乘用车 424,174 534,003 3,595,640 3,283,439 9.51% 436,856 500,526 3,655,718 3,236,927 12.94% -纯电动 219,382 206,499 1,797,558 1,379,347 30.32% 222,559 189,614 1,828,462 1,359,193 34.53% -插电式混合动力 204,792 327,504 1,798,082 1,904,092 -5.57% 214,297 310,912 1,827,256 1,877,734 -2.69% -商用车 5,634 2,131 47,737 13,",是,销量或交付量同比,上升,13.88,13.88,%,2025-01至10,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
21,G3-B029,G3-E028,EVT-09868-00141,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,第1页,"而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2025 年12 月及第四季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年12月及第四季度 車輛交付數據。 2025年12月，小鵬汽車共交付智能電動汽車37,508 輛，同比增長2%。2025年全年總交 付量達到429,445輛，較前一年增長126%。 2025年全年，小鵬汽車在海外市場共交付智能電動汽車45,008輛，同比增長96%，並在 年底將其全球布局擴張至60個國家和地區。 值得注意的是，小鵬汽車在2025年交付的所有汽車預計能減少超過661萬噸的生命周期 溫室氣體排放，這相當於1.1億棵小樹十年的碳吸收量。 2025年，小鵬汽車加速擴張其自營充電網絡。新增超過1,100座充電站后，充電網絡的 充電站數量達到了3,000座，此舉標誌著公司在基礎設施建設方面的一個重要里程碑。 本公司股東及潛在投資者於買賣本公",是,销量或交付量同比,上升,2,2,%,2025-12,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
22,G3-B004,G3-E007,EVT-603259-00053,药明康德,603259,医药,2024-03-19T00:00:00+08:00,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,第5页,"0 年 9 月 8 日全部到账，经德勤华永会计师事务所(特殊普通合伙)审验 并出具德师报(验)字(20)第 00517 号验资报告。 截至 2023 年 12 月 31 日，本公司累计使用募集资金人民币 6,390,141,389.74 元，累计产生的 利息收入及理财收入扣除银行手续费及其他后净额为人民币 105,685,722.43 元，前期已结项并用 于永久补充流动资金的金额人民币 68,976,038.38 元，尚未使用的募集资金余额为人民币 107,814,579.75 元，全部存放于监管银行。 二、 募集资金存放和管理情况 (一) 募集资金管理制度制定和执行情况 为规范本公司募集资金管理，保护投资者权益，根据《中华人民共和国公司法》、《中华人 民共和国证券法》、《上海证券交易所股票上市规则》、《上市公司监管指引第 2 号——上市公 司募集资金管理和使用的监管要求》、《上海证券交易所上市公司自律监管指引第 1 号——规范",是,资本开支,无法判断,6390141389.74,6390141389.74,元,截至2023-12-31,"正文第5页明确披露截至2023年末累计使用募集资金6,390,141,389.74元，数值、单位和日期最完整；仅有累计值，无同比或前期比较，方向无法判断。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
23,G3-B055,G3-E034,EVT-603986-00127,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,第1页,根据中国证监会发布的《上市公司监管指引第2 号——上市公司募集资金管理和使 用的监管要求》和上海证券交易所发布的《上海证券交易所上市公司自律监管指引第 1 号——规范运作》关于募集资金管理等有关规定，兆易创新科技集团股份有限公司（以 下简称“公司”或“本公司”）董事会编制了截至 2024 年 6 月 30 日的《关于公司募集 资金半年度存放与实际使用情况的专项报告》。,是,资本开支,无法判断,150135.03,150135.03,万元,截至2024-06-30,"正文直接披露截至2024年6月末募投项目累计投入150,135.03万元；该数值比募集资金筹集总额更符合资本开支/实际使用口径，且无比较基准。",5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
24,G3-B026,G3-E014,EVT-09868-00017,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,第1页,"容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2024 年3 月及第一季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣佈與泰國、新加坡和馬來西亞知名汽車經銷商集團分別建立戰 略合作夥伴關係，並即將推出右舵版G6車型。此外，小鵬汽車宣佈正式進入德",是,销量或交付量同比,上升,29,29,%,2024-03,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
25,G3-B014,G3-E021,EVT-600276-00488,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,第1页,根据国家医保局、人力资源社会保障部关于印发《国家基本医疗保险、工伤 保险和生育保险药品目录（2025 年）》的通知（“《国家基本医疗保险、工伤 保险和生育保险药品目录》”以下简称“国家医保目录”），江苏恒瑞医药股份 有限公司（以下简称“恒瑞医药”或“公司”）部分产品纳入国家医保目录。,是,其他,无法判断,75.54,75.54,亿元,2025-01至09,正文明确披露公告所涉药品2025年前三季度合计销售额约75.54亿元，数值、单位和期间完整；未提供比较基准，方向无法判断。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
26,G3-B034,G3-E008,EVT-00175-00449,吉利汽车,00175,新能源汽车,2026-07-23T17:48:11+08:00,自愿公布收购西班牙一间目标公司34%的股权及成立一间合营公司从事乘用车合约生产,http://static.cninfo.com.cn/finalpage/2026-07-23/1225439110.PDF,第1页,SPV （本公司之全資附屬公司） 、Ford NL、目標公 司、福特母公司及本公司訂立股份購買協議，據此，Geely SPV有條件同意收購及Ford NL有條件同意出售目標公司之34%股權，代價為221百萬歐元，但於完成時需根據目 標公司之淨債務、營運資金狀況及資產範圍，按慣例進行交割賬目調整。根據股份購 買協議，本公司同意就Geely SPV履行其義務提供擔保，福特母公司同意就Ford NL及 目標公司履行其各自義務提供擔保。於完成後，目標公司將由Ford NL及Geely SPV分 別擁有66%及34%權益。於完成後，目標公司將不會成為本公司的附屬公司，其財務 業績亦不會併入本集團的綜合財務報表。本公司於目標公司的投資預期將作為聯營公 司投資並採用權益法入賬。 - 1 -,是,其他,无法判断,221,221,百万欧元,2026-07-23,股份购买协议明确约定收购目标公司34%股权、代价221百万欧元，金额、单位及协议日期完整；无比较基准，方向无法判断。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
