序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间
14,G3-B042,G3-E004,EVT-603986-00507,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,,,,,,,,,,,,,,
15,G3-B030,G3-E092,EVT-002594-00009,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,,,,,,,,,,,,,,
16,G3-B021,G3-E109,EVT-09868-00063,小鹏汽车,09868,新能源汽车,2024-10-02T23:59:59+08:00,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,,,,,,,,,,,,,,
17,G3-B016,G3-E075,EVT-603259-00470,药明康德,603259,医药,2026-04-28T00:00:00+08:00,2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-28/1225200544.PDF,,,,,,,,,,,,,,
18,G3-B038,G3-E113,EVT-002594-00313,比亚迪,002594,新能源汽车,2025-11-03T00:00:00+08:00,2025年10月产销快报,http://static.cninfo.com.cn/finalpage/2025-11-03/1224781922.PDF,,,,,,,,,,,,,,
19,G3-B009,G3-E025,EVT-600276-00266,恒瑞医药,600276,医药,2025-03-31T00:00:00+08:00,恒瑞医药2024年年度报告,http://static.cninfo.com.cn/finalpage/2025-03-31/1222961962.PDF,,,,,,,,,,,,,,
20,G3-B003,G3-E037,EVT-600276-00012,恒瑞医药,600276,医药,2024-02-01T00:00:00+08:00,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-02-01/1219055661.PDF,,,,,,,,,,,,,,
21,G3-B036,G3-E120,EVT-09868-00021,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,,,,,,,,,,,,,,
22,G3-B057,G3-E003,EVT-603986-00499,兆易创新,603986,芯片半导体,2026-07-22T00:00:00+08:00,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435926.PDF,,,,,,,,,,,,,,
23,G3-B011,G3-E105,EVT-000538-00136,云南白药,000538,医药,2025-06-18T00:00:00+08:00,2025-20 关于JZ-14胶囊获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-06-18/1223899598.PDF,,,,,,,,,,,,,,
24,G3-B055,G3-E034,EVT-603986-00127,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,,,,,,,,,,,,,,
25,G3-B059,G3-E094,EVT-603986-00450,兆易创新,603986,芯片半导体,2026-03-31T00:00:00+08:00,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,,,,,,,,,,,,,,
26,G3-B051,G3-E010,EVT-603986-00407,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,,,,,,,,,,,,,,
27,G3-B002,G3-E099,EVT-000538-00235,云南白药,000538,医药,2026-06-04T00:00:00+08:00,关于INB301注射液获得美国食品药品监督管理局新药临床试验许可的公告,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349158.PDF,,,,,,,,,,,,,,
28,G3-B039,G3-E060,EVT-002594-00159,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,,,,,,,,,,,,,,
29,G3-B026,G3-E014,EVT-09868-00017,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,,,,,,,,,,,,,,
30,G3-B047,G3-E040,EVT-002371-00298,北方华创,002371,芯片半导体,2025-11-06T00:00:00+08:00,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,,,,,,,,,,,,,,
31,G3-B005,G3-E035,EVT-600276-00083,恒瑞医药,600276,医药,2024-05-22T00:00:00+08:00,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,,,,,,,,,,,,,,
32,G3-B008,G3-E112,EVT-603259-00392,药明康德,603259,医药,2025-09-03T00:00:00+08:00,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,,,,,,,,,,,,,,
33,G3-B032,G3-E098,EVT-00175-00007,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,,,,,,,,,,,,,,
34,G3-B049,G3-E017,EVT-002371-00060,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,,,,,,,,,,,,,,
35,G3-B027,G3-E048,EVT-00175-00292,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,,,,,,,,,,,,,,
36,G3-B007,G3-E031,EVT-603259-00002,药明康德,603259,医药,2024-01-03T00:00:00+08:00,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,,,,,,,,,,,,,,
37,G3-B044,G3-E104,EVT-002371-00143,北方华创,002371,芯片半导体,2024-10-30T00:00:00+08:00,2024年三季度报告,http://static.cninfo.com.cn/finalpage/2024-10-30/1221555085.PDF,,,,,,,,,,,,,,
38,G3-B017,G3-E041,EVT-000538-00186,云南白药,000538,医药,2025-12-31T18:54:32+08:00,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,,,,,,,,,,,,,,
39,G3-B012,G3-E102,EVT-600276-00619,恒瑞医药,600276,医药,2026-04-23T00:00:00+08:00,恒瑞医药2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-23/1225145521.PDF,,,,,,,,,,,,,,
40,G3-B018,G3-E115,EVT-000538-00225,云南白药,000538,医药,2026-04-02T00:00:00+08:00,关于INB301注射液获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2026-04-02/1225071642.PDF,,,,,,,,,,,,,,
41,G3-B045,G3-E114,EVT-002371-00007,北方华创,002371,芯片半导体,2024-01-16T00:00:00+08:00,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-16/1218892163.PDF,,,,,,,,,,,,,,
42,G3-B001,G3-E015,EVT-600276-00232,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,,,,,,,,,,,,,,
43,G3-B004,G3-E007,EVT-603259-00053,药明康德,603259,医药,2024-03-19T00:00:00+08:00,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,,,,,,,,,,,,,,
44,G3-B046,G3-E108,EVT-688981-00272,中芯国际,688981,芯片半导体,2026-02-11T00:00:00+08:00,中芯国际2025年第四季度业绩快报公告,http://static.cninfo.com.cn/finalpage/2026-02-11/1224974869.PDF,,,,,,,,,,,,,,
45,G3-B029,G3-E028,EVT-09868-00141,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,,,,,,,,,,,,,,
46,G3-B028,G3-E064,EVT-00175-00143,吉利汽车,00175,新能源汽车,2025-02-14T16:36:12+08:00,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,,,,,,,,,,,,,,
47,G3-B040,G3-E005,EVT-00175-00439,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,,,,,,,,,,,,,,
48,G3-B022,G3-E101,EVT-00175-00345,吉利汽车,00175,新能源汽车,2026-02-01T21:20:12+08:00,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,,,,,,,,,,,,,,
49,G3-B035,G3-E068,EVT-002594-00365,比亚迪,002594,新能源汽车,2026-04-02T00:00:00+08:00,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,,,,,,,,,,,,,,
50,G3-B043,G3-E110,EVT-688981-00247,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,,,,,,,,,,,,,,
51,G3-B013,G3-E013,EVT-000538-00233,云南白药,000538,医药,2026-04-30T00:00:00+08:00,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225255634.PDF,,,,,,,,,,,,,,
52,G3-B052,G3-E067,EVT-002371-00396,北方华创,002371,芯片半导体,2026-06-23T00:00:00+08:00,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,,,,,,,,,,,,,,
53,G3-B019,G3-E089,EVT-603259-00012,药明康德,603259,医药,2024-01-30T00:00:00+08:00,关于对无锡药明康德新药开发股份有限公司股票交易异常波动问询函的回复,http://static.cninfo.com.cn/finalpage/2024-01-30/1219029800.PDF,,,,,,,,,,,,,,
54,G3-B053,G3-E061,EVT-688981-00312,中芯国际,688981,芯片半导体,2026-04-09T00:00:00+08:00,港股公告：2025年年报,http://static.cninfo.com.cn/finalpage/2026-04-09/1225084819.PDF,,,,,,,,,,,,,,
55,G3-B010,G3-E030,EVT-600276-00513,恒瑞医药,600276,医药,2026-01-06T00:00:00+08:00,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224919037.PDF,,,,,,,,,,,,,,
56,G3-B023,G3-E016,EVT-00175-00265,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,,,,,,,,,,,,,,
57,G3-B033,G3-E009,EVT-002594-00151,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,,,,,,,,,,,,,,
58,G3-B056,G3-E084,EVT-002371-00029,北方华创,002371,芯片半导体,2024-04-13T00:00:00+08:00,2023年度业绩快报,http://static.cninfo.com.cn/finalpage/2024-04-13/1219597439.PDF,,,,,,,,,,,,,,
59,G3-B006,G3-E103,EVT-600276-00352,恒瑞医药,600276,医药,2025-07-18T00:00:00+08:00,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-07-18/1224202262.PDF,,,,,,,,,,,,,,
60,G3-B054,G3-E082,EVT-688981-00017,中芯国际,688981,芯片半导体,2024-03-29T00:00:00+08:00,中芯国际2023年年度报告摘要,http://static.cninfo.com.cn/finalpage/2024-03-29/1219447110.PDF,,,,,,,,,,,,,,
