序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
11,G3-E088,兆易创新,603986,芯片半导体,A股,2024-01-26T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-26/1219003543.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
12,G3-E019,比亚迪,002594,新能源汽车,A股,2026-03-03T00:00:00+08:00,仅日期（按盘后处理）,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,http://static.cninfo.com.cn/finalpage/2026-03-03/1224992511.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
13,G3-E118,兆易创新,603986,芯片半导体,A股,2025-08-23T00:00:00+08:00,仅日期（按盘后处理）,兆易创新2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-23/1224559705.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
14,G3-E101,吉利汽车,00175,新能源汽车,港股,2026-02-01T21:20:12+08:00,精确,未经审核之二零二六年一月销量,http://static.cninfo.com.cn/finalpage/2026-02-01/1224961027.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
15,G3-E063,云南白药,000538,医药,A股,2025-08-30T00:00:00+08:00,仅日期（按盘后处理）,半年报董事会决议公告,http://static.cninfo.com.cn/finalpage/2025-08-30/1224622375.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
16,G3-E110,中芯国际,688981,芯片半导体,A股,2025-12-30T00:00:00+08:00,仅日期（按盘后处理）,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
17,G3-E080,恒瑞医药,600276,医药,A股,2025-12-03T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
18,G3-E027,中芯国际,688981,芯片半导体,A股,2026-06-04T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2026年度股东会会议资料,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349272.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
19,G3-E038,比亚迪,002594,新能源汽车,A股,2024-03-21T00:00:00+08:00,仅日期（按盘后处理）,H股公告（通函）,http://static.cninfo.com.cn/finalpage/2024-03-21/1219358761.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
20,G3-E066,药明康德,603259,医药,A股,2024-10-08T07:33:00+08:00,精确,关于WuXi ATU媒体报道的自愿性公告,http://static.cninfo.com.cn/finalpage/2024-10-08/1221337210.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
21,G3-E035,恒瑞医药,600276,医药,A股,2024-05-22T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-05-22/1220121916.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
22,G3-E013,云南白药,000538,医药,A股,2026-04-30T00:00:00+08:00,仅日期（按盘后处理）,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225255634.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
23,G3-E078,药明康德,603259,医药,A股,2025-03-26T00:00:00+08:00,仅日期（按盘后处理）,关于召开2024年年度股东大会、2025年第一次A股类别股东会议及2025年第一次H股类别股东会议的通知,http://static.cninfo.com.cn/finalpage/2025-03-26/1222894450.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
24,G3-E115,云南白药,000538,医药,A股,2026-04-02T00:00:00+08:00,仅日期（按盘后处理）,关于INB301注射液获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2026-04-02/1225071642.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
25,G3-E068,比亚迪,002594,新能源汽车,A股,2026-04-02T00:00:00+08:00,仅日期（按盘后处理）,2026年3月产销快报,http://static.cninfo.com.cn/finalpage/2026-04-02/1225072597.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
26,G3-E065,吉利汽车,00175,新能源汽车,港股,2024-07-19T16:42:18+08:00,精确,补充公布授出认股权,http://static.cninfo.com.cn/finalpage/2024-07-19/1220688951.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
27,G3-E018,吉利汽车,00175,新能源汽车,港股,2024-02-20T16:50:24+08:00,精确,关连交易出售睿蓝汽车之股权,http://static.cninfo.com.cn/finalpage/2024-02-20/1219142414.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
28,G3-E073,比亚迪,002594,新能源汽车,A股,2025-10-09T00:00:00+08:00,仅日期（按盘后处理）,2025年9月产销快报,http://static.cninfo.com.cn/finalpage/2025-10-09/1224697528.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
29,G3-E077,比亚迪,002594,新能源汽车,A股,2025-10-16T00:00:00+08:00,仅日期（按盘后处理）,H股公告（董事会会议通告）,http://static.cninfo.com.cn/finalpage/2025-10-16/1224714146.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
30,G3-E096,药明康德,603259,医药,A股,2026-08-04T00:00:00+08:00,仅日期（按盘后处理）,2026年A股员工持股计划（草案）摘要公告,http://static.cninfo.com.cn/finalpage/2026-08-04/1225455026.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
31,G3-E072,北方华创,002371,芯片半导体,A股,2026-07-22T00:00:00+08:00,仅日期（按盘后处理）,关于注册发行非金融企业债务融资工具及应收账款资产支持商业票据的公告,http://static.cninfo.com.cn/finalpage/2026-07-22/1225435702.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,,,,,,,,,,,
32,G3-E085,吉利汽车,00175,新能源汽车,港股,2024-05-05T18:14:13+08:00,精确,(1) 有关建议分拆之最新进展；(2) 建议认购事项；及 (3) 董事会会议通告,http://static.cninfo.com.cn/finalpage/2024-05-05/1219973370.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
33,G3-E083,云南白药,000538,医药,A股,2024-05-11T00:00:00+08:00,仅日期（按盘后处理）,关于氟比洛芬凝胶贴膏获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2024-05-11/1220033851.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
34,G3-E097,云南白药,000538,医药,A股,2024-09-12T00:00:00+08:00,仅日期（按盘后处理）,2024年第三次临时股东大会决议公告,http://static.cninfo.com.cn/finalpage/2024-09-12/1221205133.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
35,G3-E111,比亚迪,002594,新能源汽车,A股,2024-04-20T00:00:00+08:00,仅日期（按盘后处理）,2024年第一次临时股东大会、2024年第一次A股类别股东大会及2024年第一次H股类别股东大会决议公告,http://static.cninfo.com.cn/finalpage/2024-04-20/1219697439.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
36,G3-E109,小鹏汽车,09868,新能源汽车,港股,2024-10-02T23:59:59+08:00,精确,自愿公告 2024年9月及第三季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-10-02/1221335028.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
37,G3-E026,比亚迪,002594,新能源汽车,A股,2025-01-08T00:00:00+08:00,仅日期（按盘后处理）,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,http://static.cninfo.com.cn/finalpage/2025-01-08/1222257663.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
38,G3-E119,小鹏汽车,09868,新能源汽车,港股,2024-07-05T21:18:17+08:00,精确,翌日披露报表,http://static.cninfo.com.cn/finalpage/2024-07-05/1220542969.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,,,,,,,,,,,,
39,G3-E012,吉利汽车,00175,新能源汽车,港股,2025-06-01T18:06:28+08:00,精确,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
40,G3-E044,中芯国际,688981,芯片半导体,A股,2025-11-14T00:00:00+08:00,仅日期（按盘后处理）,中芯国际关于2025年前三季度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2025-11-14/1224804088.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
41,G3-E010,兆易创新,603986,芯片半导体,A股,2026-01-23T00:00:00+08:00,仅日期（按盘后处理）,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
42,G3-E116,云南白药,000538,医药,A股,2025-06-26T00:00:00+08:00,仅日期（按盘后处理）,第十届董事会2025年第三次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-06-26/1223980920.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,,,,,,,,,,,
43,G3-E002,药明康德,603259,医药,A股,2025-10-27T00:00:00+08:00,仅日期（按盘后处理）,2025年第三季度报告,http://static.cninfo.com.cn/finalpage/2025-10-27/1224737987.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
44,G3-E050,兆易创新,603986,芯片半导体,A股,2026-05-30T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于完成工商变更登记的公告,http://static.cninfo.com.cn/finalpage/2026-05-30/1225339729.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,,,,,,,,,,,
45,G3-E021,恒瑞医药,600276,医药,A股,2025-12-08T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
46,G3-E064,吉利汽车,00175,新能源汽车,港股,2025-02-14T16:36:12+08:00,精确,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,,,,,,,,,,,
47,G3-E033,药明康德,603259,医药,A股,2024-03-09T00:00:00+08:00,仅日期（按盘后处理）,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
48,G3-E117,药明康德,603259,医药,A股,2026-07-02T00:00:00+08:00,仅日期（按盘后处理）,第四届董事会第四次会议决议公告,http://static.cninfo.com.cn/finalpage/2026-07-02/1225403740.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
49,G3-E022,比亚迪,002594,新能源汽车,A股,2025-03-18T00:00:00+08:00,仅日期（按盘后处理）,公司章程（2025年3月）,http://static.cninfo.com.cn/finalpage/2025-03-18/1222822328.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,,,,,,,,,,,
50,G3-E036,恒瑞医药,600276,医药,A股,2026-07-08T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-07-08/1225413220.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,,,,,,,,,,,
51,G3-E054,药明康德,603259,医药,A股,2025-07-29T00:00:00+08:00,仅日期（按盘后处理）,关于2025年中期利润分配方案的公告,http://static.cninfo.com.cn/finalpage/2025-07-29/1224317423.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,,,,,,,,,,,
52,G3-E024,中芯国际,688981,芯片半导体,A股,2025-04-01T00:00:00+08:00,仅日期（按盘后处理）,港股公告：翌日披露报表,http://static.cninfo.com.cn/finalpage/2025-04-01/1222973643.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,,,,,,,,,,,
