序号,公司,证券代码,行业,市场,披露日期,披露时间是否精确,公告标题,原文链接,H1-需求与出货,H2-盈利质量,H3-产能与扩张,关联假设,影响方向,判断理由,标注人,标注时间
26,比亚迪,002594,新能源汽车,A股,2025-03-25,否（源为00:00，按盘后处理）,关于2024年度计提信用及资产减值损失的公告,http://static.cninfo.com.cn/finalpage/2025-03-25/1222881515.PDF,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,H3-产能与扩张,冲突,2024年计提长期资产减值8.63亿元，含长期股权投资、固定资产及在建工程减值。,Codex-投研标注,2026-08-11T18:00:00+08:00
27,恒瑞医药,600276,医药,A股,2026-08-07,否（源为00:00，按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-08-07/1225462416.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,H1-需求与出货,支持,自主创新药新增第五项适应症获批，扩展已上市产品可销售人群。,Codex-投研标注,2026-08-11T18:00:00+08:00
28,兆易创新,603986,芯片半导体,A股,2026-03-31,否（源为00:00，按盘后处理）,中国国际金融股份有限公司关于兆易创新使用部分A股闲置募集资金进行现金管理及募集资金现金管理余额以协定存款方式存放的核查意见,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061332.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,无关,闲置募集资金现金管理属于资金存放安排，不是研发或产能项目进展。,Codex-投研标注,2026-08-11T18:00:00+08:00
29,药明康德,603259,医药,A股,2025-09-03,否（源为00:00，按盘后处理）,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,无关,与关联方签署服务框架协议属于日常交易额度安排，不能据此识别新增外部订单。,Codex-投研标注,2026-08-11T18:00:00+08:00
30,药明康德,603259,医药,A股,2025-10-11,否（源为00:00，按盘后处理）,关于股东到期解除一致行动关系暨权益变动的提示性公告,http://static.cninfo.com.cn/finalpage/2025-10-11/1224705550.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,无关,股东解除一致行动关系为股权治理事项，不影响CXO订单、毛利率或海外产能。,Codex-投研标注,2026-08-11T18:00:00+08:00
31,恒瑞医药,600276,医药,A股,2025-11-26,否（源为00:00，按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2025-11-26/1224824873.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,无关,已上市药物新增临床试验仍是中间研发节点，未形成新的上市销售结果。,Codex-投研标注,2026-08-11T18:00:00+08:00
32,小鹏汽车,09868,新能源汽车,港股,2026-03-20,是,小鹏汽车发布2025 年第四季度及2025 财政年度的未经审计财务业绩,http://static.cninfo.com.cn/finalpage/2026-03-20/1225021063.PDF,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,H2-盈利质量,支持,2025年四季度毛利率21.3%，同比提升6.9个百分点；汽车毛利率同比提升3个百分点。,Codex-投研标注,2026-08-11T18:00:00+08:00
33,比亚迪,002594,新能源汽车,A股,2026-03-28,否（源为00:00，按盘后处理）,关于2025年度利润分配方案的公告,http://static.cninfo.com.cn/finalpage/2026-03-28/1225045359.PDF,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,,无关,利润分配方案是资本分配事项，不直接验证销量、毛利率趋势或海外扩产。,Codex-投研标注,2026-08-11T18:00:00+08:00
34,中芯国际,688981,芯片半导体,A股,2024-05-10,否（源为00:00，按盘后处理）,港股公告：中芯国际截至2024年3月31日止三个月未经审核业绩公布,http://static.cninfo.com.cn/finalpage/2024-05-10/1220022809.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,H1-需求与出货,支持,2024年一季度晶圆出货环比+7%、产能利用率升至80.8%，收入同比+19.7%。,Codex-投研标注,2026-08-11T18:00:00+08:00
35,云南白药,000538,医药,A股,2024-05-11,否（源为00:00，按盘后处理）,关于氟比洛芬凝胶贴膏获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2024-05-11/1220033851.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,无关,仅获临床试验批准，距离生产上市仍有较长周期，不能验证工业药品需求。,Codex-投研标注,2026-08-11T18:00:00+08:00
36,恒瑞医药,600276,医药,A股,2026-07-16,否（源为00:00，按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-07-16/1225425917.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,,无关,临床试验批准属于高频研发进展，尚未获批上市，短期不改变收入假设。,Codex-投研标注,2026-08-11T18:00:00+08:00
37,中芯国际,688981,芯片半导体,A股,2026-06-27,否（源为00:00，按盘后处理）,上海市锦天城律师事务所关于2026年度股东会的法律意见书,http://static.cninfo.com.cn/finalpage/2026-06-27/1225393411.PDF,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,,无关,年度股东会法律意见书是治理程序文件，不含经营证据。,Codex-投研标注,2026-08-11T18:00:00+08:00
38,北方华创,002371,芯片半导体,A股,2026-04-30,否（源为00:00，按盘后处理）,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225259650.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,H1-需求与出货,支持,2026年一季度营业收入103.23亿元，同比+25.80%，多款设备市占率提升。,Codex-投研标注,2026-08-11T18:00:00+08:00
39,兆易创新,603986,芯片半导体,A股,2025-06-07,否（源为00:00，按盘后处理）,兆易创新关于2024年股票期权激励计划第一个行权期行权结果暨股份过户登记的公告,http://static.cninfo.com.cn/finalpage/2025-06-07/1223801869.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,,无关,股票期权行权及股份登记是激励执行事项，不影响产品需求或存货质量。,Codex-投研标注,2026-08-11T18:00:00+08:00
40,药明康德,603259,医药,A股,2025-10-27,否（源为00:00，按盘后处理）,关于出售资产公告,http://static.cninfo.com.cn/finalpage/2025-10-27/1224737985.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,H3-产能与扩张,中性,出售两家境内临床研究公司并聚焦CRDMO主业，涉及产能布局但对海外基地与地缘风险方向未定。,Codex-投研标注,2026-08-11T18:00:00+08:00
41,恒瑞医药,600276,医药,A股,2024-01-04,否（源为00:00，按盘后处理）,恒瑞医药关于子公司获得药品注册证书的公告,http://static.cninfo.com.cn/finalpage/2024-01-04/1218799854.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,H1-需求与出货,支持,醋酸阿比特龙片（II）取得注册证书并获批上市，形成新增可销售产品。,Codex-投研标注,2026-08-11T18:00:00+08:00
42,吉利汽车,00175,新能源汽车,港股,2026-04-29,是,翌日披露报表,http://static.cninfo.com.cn/finalpage/2026-04-29/1225259670.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,无关,翌日披露报表为股份变动的程序性披露，不涉及销量或整合经营结果。,Codex-投研标注,2026-08-11T18:00:00+08:00
43,兆易创新,603986,芯片半导体,A股,2024-01-26,否（源为00:00，按盘后处理）,兆易创新2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-26/1219003543.PDF,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,H1-需求与出货,冲突,2023年收入预计同比-29.08%，公告称需求复苏缓慢、价格和毛利率明显下滑。,Codex-投研标注,2026-08-11T18:00:00+08:00
44,吉利汽车,00175,新能源汽车,港股,2024-10-09,是,董事会会议日期,http://static.cninfo.com.cn/finalpage/2024-10-09/1221354358.PDF,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,,无关,董事会会议日期通知仅为会议安排，不含经营数据。,Codex-投研标注,2026-08-11T18:00:00+08:00
45,恒瑞医药,600276,医药,A股,2025-08-21,否（源为00:00，按盘后处理）,恒瑞医药2025年半年度报告摘要,http://static.cninfo.com.cn/finalpage/2025-08-21/1224526674.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,H1-需求与出货,支持,2025年上半年营业收入同比+15.88%，创新药放量与收入接续获得验证。,Codex-投研标注,2026-08-11T18:00:00+08:00
46,北方华创,002371,芯片半导体,A股,2026-06-23,否（源为00:00，按盘后处理）,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,,无关,放弃参股基金增资优先认购权为非主营投资安排，不改变设备订单与交付能力。,Codex-投研标注,2026-08-11T18:00:00+08:00
47,小鹏汽车,09868,新能源汽车,港股,2026-02-02,是,自愿公告 2026年1月智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-02-02/1224962626.PDF,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,H1-需求与出货,冲突,"2026年1月交付20,011辆，较2025年1月30,350辆下降约34%，不符合持续增长。",Codex-投研标注,2026-08-11T18:00:00+08:00
48,云南白药,000538,医药,A股,2025-04-09,否（源为00:00，按盘后处理）,关于INR102注射液获得药物临床试验批准的公告,http://static.cninfo.com.cn/finalpage/2025-04-09/1223030256.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,无关,仅获临床试验批准，尚未形成可销售产品或渠道收入。,Codex-投研标注,2026-08-11T18:00:00+08:00
49,云南白药,000538,医药,A股,2024-02-24,否（源为00:00，按盘后处理）,关于变更回购股份用途并注销暨通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-02-24/1219171881.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,无关,变更回购股份用途并注销属于资本运作，不涉及主营需求、毛利率或减值。,Codex-投研标注,2026-08-11T18:00:00+08:00
50,恒瑞医药,600276,医药,A股,2025-12-08,否（源为00:00，按盘后处理）,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,H1-需求与出货,支持,多款药品首次纳入、续约或新增适应症进入国家医保目录，有利于创新药放量。,Codex-投研标注,2026-08-11T18:00:00+08:00
51,药明康德,603259,医药,A股,2024-03-19,否（源为00:00，按盘后处理）,2023年度募集资金存放与实际使用情况的专项报告,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331370.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,H3-产能与扩张,支持,募投项目整体结项，报告明确不存在未达计划进度或预计收益的情况。,Codex-投研标注,2026-08-11T18:00:00+08:00
52,云南白药,000538,医药,A股,2024-10-30,否（源为00:00，按盘后处理）,云南白药集团股份有限公司对外捐赠管理办法,http://static.cninfo.com.cn/finalpage/2024-10-30/1221560395.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,无关,对外捐赠管理办法为内部治理制度，不含经营结果。,Codex-投研标注,2026-08-11T18:00:00+08:00
53,云南白药,000538,医药,A股,2024-03-30,否（源为00:00，按盘后处理）,云南白药独立董事2023年度述职报告-何勇,http://static.cninfo.com.cn/finalpage/2024-03-30/1219474046.PDF,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,,无关,独立董事述职报告为治理披露，不验证主营假设。,Codex-投研标注,2026-08-11T18:00:00+08:00
54,药明康德,603259,医药,A股,2026-08-04,否（源为00:00，按盘后处理）,关于2026年中期利润分配方案的公告,http://static.cninfo.com.cn/finalpage/2026-08-04/1225455029.PDF,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,,无关,中期利润分配方案属于股东回报安排，不直接证明订单、盈利质量或产能进展。,Codex-投研标注,2026-08-11T18:00:00+08:00
