任务类型,样本ID,A结果,A理由,B结果,B理由,裁决结果,裁决理由,裁决人ID,裁决时间
event,G3-E025,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E028,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“智能车交付量保持增长，新车型周期带动需求回升”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E034,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，降低“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E035,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E037,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E041,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""订单/合同"", ""影响强度"": ""低"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""订单/合同"", ""影响强度"": ""低"", ""影响方向"": ""中性"", ""直接性"": ""间接""}",该事实涉及但尚不足以改变H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E043,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“毛利率随产能利用率回升，折旧压力不导致盈利持续恶化”的可信度。,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H2-盈利质量的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E045,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E046,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值”的可信度。,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。,,,,
event,G3-E051,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值”的可信度。,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。,,,,
event,G3-E052,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E054,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“产能利用率与项目结构支撑毛利率，不因价格竞争持续走低”的可信度。,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。,,,,
event,G3-E055,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“智能车交付量保持增长，新车型周期带动需求回升”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E061,"{""主要关联假设"": ""信息不足"", ""事件类别"": ""无法判断"", ""影响强度"": ""不适用"", ""影响方向"": ""信息不足"", ""直接性"": ""不适用""}",原文正文不可提取，不能使用常识或其他披露补齐，因此按信息不足处理。,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H2-盈利质量的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E066,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""风险/合规"", ""影响强度"": ""中"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，降低“新增产能与地缘政治风险可控，海外基地建设按计划推进”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""风险/合规"", ""影响强度"": ""高"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实降低H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E071,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""融资/现金流"", ""影响强度"": ""低"", ""影响方向"": ""中性"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，与该假设相关但尚不足以确定提高或降低“新品研发与产能储备按计划推进，不出现存货大额跌价”的可信度。,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。,,,,
event,G3-E073,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“新能源汽车销量保持增长，出口占比提升对冲国内价格压力”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E075,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“产能利用率与项目结构支撑毛利率，不因价格竞争持续走低”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E083,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E084,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E085,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“品牌与平台整合按计划推进，不出现大额整合损失”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E086,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E087,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""融资/现金流"", ""影响强度"": ""低"", ""影响方向"": ""中性"", ""直接性"": ""间接""}",该事实涉及但尚不足以改变H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E089,"{""主要关联假设"": ""无关"", ""事件类别"": ""治理/其他"", ""影响强度"": ""不适用"", ""影响方向"": ""无关"", ""直接性"": ""不适用""}",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""风险/合规"", ""影响强度"": ""高"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实降低H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E091,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""风险/合规"", ""影响强度"": ""高"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，降低“产能利用率与项目结构支撑毛利率，不因价格竞争持续走低”的可信度。,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""冲突"", ""直接性"": ""直接""}",该事实降低H2-盈利质量的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E095,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“产能与交付能力跟上订单增长，合同负债转化不出现明显滞后”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E099,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E101,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“新能源车型销量放量带动整体销量增长，出口贡献增量”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E102,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E104,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E105,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E107,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""订单/合同"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“毛利率随规模与技术服务收入改善，不回落到历史低位”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""订单/合同"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E110,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""产能/资本开支"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E113,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""中"", ""影响方向"": ""中性"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，与该假设相关但尚不足以确定提高或降低“新能源汽车销量保持增长，出口占比提升对冲国内价格压力”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""产销/需求"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E114,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实直接观察到相关指标或里程碑，提高“规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""收入/利润"", ""影响强度"": ""高"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E115,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""研发/注册"", ""影响强度"": ""低"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“工业药品与健康品渠道保持稳定，不出现持续负增长”的可信度。,"{""主要关联假设"": ""H3-产能与扩张"", ""事件类别"": ""研发/注册"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""直接""}",该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
event,G3-E120,"{""主要关联假设"": ""H2-盈利质量"", ""事件类别"": ""订单/合同"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实需经过一层清晰的业务因果链，提高“毛利率随规模与技术服务收入改善，不回落到历史低位”的可信度。,"{""主要关联假设"": ""H1-需求与出货"", ""事件类别"": ""订单/合同"", ""影响强度"": ""中"", ""影响方向"": ""支持"", ""直接性"": ""间接""}",该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。,,,,
body_fact,G3-B001,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2025-01"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""27987"", ""数值下限"": ""27987"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
body_fact,G3-B002,"{""事实发生期"": """", ""事实类型"": ""不适用"", ""单位"": """", ""变化方向"": ""不适用"", ""数值上限"": """", ""数值下限"": """", ""是否存在可抽取事实"": ""否""}",正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,"{""事实发生期"": ""截至2026-06"", ""事实类型"": ""其他"", ""单位"": ""万元"", ""变化方向"": ""无法判断"", ""数值上限"": ""5066.5"", ""数值下限"": ""5066.5"", ""是否存在可抽取事实"": ""是""}",正文明确披露可复核的业务金额、投入或交易上限及对应期间，可作为结构化事实抽取。,,,,
