序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间
76,G3-R-E031-H3,G3-E031,603259-H3,药明康德,603259,医药,2024-01-03T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,,,,,,,,
77,G3-R-E095-H2,G3-E095,002371-H2,北方华创,002371,芯片半导体,2025-02-18T00:00:00+08:00,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,,,,,,,,
78,G3-R-E091-H2,G3-E091,603259-H2,药明康德,603259,医药,2026-03-24T00:00:00+08:00,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,,,,,,,,
79,G3-R-E049-H3,G3-E049,002594-H3,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,海外工厂与产能扩张按计划落地，不出现大额投资减值,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,,,,,,,,
80,G3-R-E033-H1,G3-E033,603259-H1,药明康德,603259,医药,2024-03-09T00:00:00+08:00,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,,,,,,,,
81,G3-R-E049-H1,G3-E049,002594-H1,比亚迪,002594,新能源汽车,2024-03-02T00:00:00+08:00,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,关于持股5%以上股东部分股份质押的公告,http://static.cninfo.com.cn/finalpage/2024-03-02/1219219982.PDF,,,,,,,,
82,G3-R-E034-H1,G3-E034,603986-H1,兆易创新,603986,芯片半导体,2024-08-21T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,http://static.cninfo.com.cn/finalpage/2024-08-21/1220923954.PDF,,,,,,,,
83,G3-R-E014-H1,G3-E014,09868-H1,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,,,,,,,,
84,G3-R-E091-H3,G3-E091,603259-H3,药明康德,603259,医药,2026-03-24T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,,,,,,,,
85,G3-R-E110-H3,G3-E110,688981-H3,中芯国际,688981,芯片半导体,2025-12-30T00:00:00+08:00,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,,,,,,,,
86,G3-R-E094-H1,G3-E094,603986-H1,兆易创新,603986,芯片半导体,2026-03-31T00:00:00+08:00,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,兆易创新2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-03-31/1225061352.PDF,,,,,,,,
87,G3-R-E112-H3,G3-E112,603259-H3,药明康德,603259,医药,2025-09-03T00:00:00+08:00,新增产能与地缘政治风险可控，海外基地建设按计划推进,关于与关联方签署框架协议暨日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-09-03/1224634480.PDF,,,,,,,,
88,G3-R-E048-H2,G3-E048,00175-H2,吉利汽车,00175,新能源汽车,2025-11-27T16:36:09+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,持续关连交易,http://static.cninfo.com.cn/finalpage/2025-11-27/1224830298.PDF,,,,,,,,
89,G3-R-E015-H2,G3-E015,600276-H2,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,,,,,,,,
