event_id,company,title,category,annotator_a_hypothesis,annotator_a_direction,annotator_b_hypothesis,annotator_b_direction
EVT-600276-00035,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00063,恒瑞医药,恒瑞医药关于公司药物获得美国FDA快速通道资格的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00065,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00066,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00055,兆易创新,兆易创新关于使用闲置募集资金进行现金管理的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00059,兆易创新,中国国际金融股份有限公司关于兆易创新使用部分闲置募集资金暂时补充流动资金的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00060,兆易创新,中兴华关于兆易创新募集资金年度存放与实际使用情况的鉴证报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00072,兆易创新,兆易创新2023年度募集资金存放与实际使用情况专项报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00084,兆易创新,兆易创新关于使用部分闲置募集资金暂时补充流动资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00088,兆易创新,中国国际金融股份有限公司关于兆易创新募集资金2023年度存放与使用情况的专项核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00095,兆易创新,中国国际金融股份有限公司关于兆易创新使用闲置募集资金进行现金管理的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00067,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00068,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00069,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-002371-00035,北方华创,年度募集资金使用鉴证报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00048,北方华创,中信建投证券股份有限公司关于北方华创科技集团股份有限公司2023年度募集资金存放与实际使用情况的专项核查报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00064,北方华创,年度募集资金使用情况专项说明,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00074,北方华创,关于注册发行应收账款资产支持商业票据及永续中期票据的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00072,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00073,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-000538-00049,云南白药,关于INR101注射液获得药物临床试验批准的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-000538-00051,云南白药,关于氟比洛芬凝胶贴膏获得药物临床试验批准的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00074,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00080,恒瑞医药,恒瑞医药关于签署授权许可协议暨对外投资的公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00082,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00083,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00086,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00087,恒瑞医药,恒瑞医药关于子公司药物拟纳入突破性治疗品种名单公示的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00088,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00089,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00090,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00091,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00093,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00094,恒瑞医药,恒瑞医药关于子公司药物拟纳入突破性治疗品种名单公示的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603259-00144,药明康德,无锡药明康德新药开发股份有限公司募集资金管理办法（2024年修订）,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00095,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00097,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00098,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00101,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00104,恒瑞医药,恒瑞医药关于子公司通过药品GMP符合性检查的公告,药品质量与合规,H2-盈利质量,冲突,H2-盈利质量,中性
EVT-603986-00122,兆易创新,兆易创新关于与关联方共同投资设立控股子公司暨关联交易的公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00106,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00107,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00108,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00110,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-00175-00064,吉利汽车,自愿公布发行於二零二七年到期之人民币20亿元中期票据,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00112,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00113,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00114,恒瑞医药,恒瑞医药关于子公司获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00115,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00116,恒瑞医药,恒瑞医药关于获得药品补充申请批准通知书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-09868-00051,小鹏汽车,自愿公告 – 收购滴滴智能汽车开发业务资产的SOP交割及发行SOP对价股份,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00117,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00118,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00127,兆易创新,兆易创新2024年半年度募集资金存放与实际使用情况专项报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00116,北方华创,2024年半年度募集资金存放与实际使用情况的专项报告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00145,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00146,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00143,兆易创新,兆易创新募集资金使用管理制度（2024年9月）,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00148,恒瑞医药,恒瑞医药关于药物上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00152,恒瑞医药,恒瑞医药关于药物纳入拟突破性治疗品种名单公示的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00153,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00154,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00151,兆易创新,兆易创新关于提前归还部分用于暂时补充流动资金的募集资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00155,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00156,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00157,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-002371-00134,北方华创,关于归还暂时补充流动资金的闲置募集资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00159,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00161,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00162,恒瑞医药,恒瑞医药关于药物纳入突破性治疗品种名单的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00163,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00164,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-00175-00085,吉利汽车,有关收购宁波乘用车之获豁免关连交易及获豁免持续关连交易,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00169,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00170,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-002371-00145,北方华创,中信建投证券股份有限公司关于北方华创科技集团股份有限公司全资子公司使用部分闲置募集资金暂时补充流动资金的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-002371-00148,北方华创,关于全资子公司使用部分闲置募集资金暂时补充流动资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00176,兆易创新,兆易创新关于收购苏州赛芯电子科技股份有限公司控股权暨关联交易公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00177,兆易创新,中金公司关于兆易创新调整部分募投项目、新增募投项目并将部分募集资金补充流动资金的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00179,兆易创新,兆易创新关于调整部分募投项目、新增募投项目并将部分募集资金永久补充流动资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00181,兆易创新,兆易创新关于使用自有外汇方式支付募投项目所需资金并以募集资金等额置换的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-603986-00185,兆易创新,中金公司关于兆易创新使用自有外汇方式支付募投项目部分所需资金并以募集资金等额置换的核查意见,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00173,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-00175-00091,吉利汽车,关连交易本公司收购极氪销售股份,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00174,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00175,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00176,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00177,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00198,兆易创新,兆易创新关于提前归还部分用于暂时补充流动资金的募集资金的公告,融资,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-000538-00091,云南白药,关于拟与专业投资机构共同投资设立基金的公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00180,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00181,恒瑞医药,恒瑞医药关于药物纳入拟突破性治疗品种公示名单的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00213,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00214,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00215,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00217,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00218,恒瑞医药,恒瑞医药关于药物纳入拟突破性治疗品种公示名单的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-603986-00225,兆易创新,兆易创新关于收购苏州赛芯电子科技股份有限公司控股权暨关联交易之标的资产过户完成公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00219,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00221,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00222,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00223,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00230,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-000538-00098,云南白药,关于与专业投资机构共同投资设立基金的进展公告,投资与产能,H3-产能与扩张,支持,H3-产能与扩张,中性
EVT-600276-00232,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00233,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00234,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00235,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00236,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00237,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00238,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00239,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-688981-00109,中芯国际,中芯国际关于与大唐控股订立2025年框架协议暨关联（连）交易的公告,订单与合同,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00241,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00242,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00243,恒瑞医药,恒瑞医药关于药品上市许可申请获受理的提示性公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00244,恒瑞医药,恒瑞医药关于药品临床试验进展的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00245,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00246,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00248,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00249,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00250,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00252,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00253,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00254,恒瑞医药,恒瑞医药关于药品纳入拟突破性治疗品种公示名单的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00256,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00258,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00259,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00260,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00261,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00283,恒瑞医药,恒瑞医药关于药物纳入拟突破性治疗品种公示名单的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00284,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00285,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00292,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00295,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-000538-00127,云南白药,关于INR102注射液获得药物临床试验批准的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00297,恒瑞医药,恒瑞医药关于获得药品注册证书的公告,药品注册与上市,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00299,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
EVT-600276-00300,恒瑞医药,恒瑞医药关于获得药物临床试验批准通知书的公告,药品研发进展,H1-需求与出货,支持,H1-需求与出货,中性
