task_id,description,manual_minutes,recorded_by,recorded_at,note
TASK-00175-2025Q1,筛选 吉利汽车 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-00175-2025Q2,筛选 吉利汽车 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-00175-2025Q3,筛选 吉利汽车 2025Q3 与核心假设相关的事件并判断方向,,,,
TASK-09868-2024Q1,筛选 小鹏汽车 2024Q1 与核心假设相关的事件并判断方向,,,,
TASK-09868-2024Q2,筛选 小鹏汽车 2024Q2 与核心假设相关的事件并判断方向,,,,
TASK-09868-2024Q3,筛选 小鹏汽车 2024Q3 与核心假设相关的事件并判断方向,,,,
TASK-09868-2024Q4,筛选 小鹏汽车 2024Q4 与核心假设相关的事件并判断方向,,,,
TASK-09868-2025Q1,筛选 小鹏汽车 2025Q1 与核心假设相关的事件并判断方向,,,,
TASK-09868-2025Q2,筛选 小鹏汽车 2025Q2 与核心假设相关的事件并判断方向,,,,
TASK-09868-2025Q3,筛选 小鹏汽车 2025Q3 与核心假设相关的事件并判断方向,,,,
