序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
31,G3-E005,吉利汽车,00175,新能源汽车,港股,2026-07-01T18:12:27+08:00,精确,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露未经审核之二零二六年六月销量，核心事实为：核之 二零二 六 年 六 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 六 月 的 汽車 總銷量為240,799 部， 較去年同期增長約2% 。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部）…",产销/需求,H1-需求与出货,支持,低,直接,"第1页：核之 二零二 六 年 六 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 六 月 的 汽車 總銷量為240,799 部， 較去年同期增長約2% 。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 186,564 193,024 -3 1,100,373 1,164,303 -5 其中: 銀河 108,206 90,222 20 519,793 548,408 -5 領克 19,066 26,310 -28 144,215 1…",6月总销量24.08万辆、同比仅增长约2%，直接但增幅较弱，且分品牌表现分化，因此对需求与出货假设构成低强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
32,G3-E051,中芯国际,688981,芯片半导体,A股,2026-05-13T00:00:00+08:00,仅日期（按盘后处理）,中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告,http://static.cninfo.com.cn/finalpage/2026-05-13/1225300706.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公司披露中芯国际集成电路制造有限公司关于发行股份购买资产暨关联交易报告书修订说明的公告，核心事实为：或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 中芯国际集成电路制造有限公司（以下简称“公司”）拟向国家集成电路产 业投资基金股份有限公司、北京集成电路制造和装备股权投资中心（有限合伙）、 北京亦庄国际投资发展有限公司、中关村发展集团股份有限公司及北京工业发展 投资管理有限公司发行股份购买其所合计持有的…,产能/资本开支,H3-产能与扩张,支持,中,直接,第1页：或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 中芯国际集成电路制造有限公司（以下简称“公司”）拟向国家集成电路产 业投资基金股份有限公司、北京集成电路制造和装备股权投资中心（有限合伙）、 北京亦庄国际投资发展有限公司、中关村发展集团股份有限公司及北京工业发展 投资管理有限公司发行股份购买其所合计持有的中芯北方集成电路制造（北京） 有限公司 49%的股权（以下简称“本次交易”）。 上海证券交易所并购重组审核委员会（以下简称“上交所重组委”）于 2026 年 5 月 11 日召开 2026 年第 5 次并购重组审核委员会审议会议，对公司本次交易 的申请进行了审议。根据上交所重组委…,收购中芯北方49%股权的申请已通过上交所重组委审议，属于重大产能资产交易的实质阶段进展；但尚未完成交割或验证经营协同，故为中强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
33,G3-E011,恒瑞医药,600276,医药,A股,2024-04-18T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2023年年度报告,http://static.cninfo.com.cn/finalpage/2024-04-18/1219650115.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,"公司披露恒瑞医药2023年年度报告，核心事实为：姓名 周琼 陈莉 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：元 币种：人民币 主要会计数据 2023年 2022年 本期比上 年同期增 减(%) 2021年 营业收入 22,819,784,741.31 21,275,270,681.52 7.26 25,905,526,375.80 归属于上市公…",收入/利润,H2-盈利质量,支持,高,直接,"第6页：姓名 周琼 陈莉 七、 近三年主要会计数据和财务指标 (一) 主要会计数据 单位：元 币种：人民币 主要会计数据 2023年 2022年 本期比上 年同期增 减(%) 2021年 营业收入 22,819,784,741.31 21,275,270,681.52 7.26 25,905,526,375.80 归属于上市公司股 东的净利润 4,302,435,930.05 3,906,375,067.36 10.14 4,530,217,550.47 归属于上市公司股 东的扣除非经常性 损益的净利润 4,141,262,764.05 3,409,628,644.01 21.46 4,200,699…",2023年营业收入同比增长7.26%、归母净利润同比增长10.14%、扣非净利润同比增长21.46%，年度盈利结果直接改善，构成对盈利质量假设的高强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
34,G3-E067,北方华创,002371,芯片半导体,A股,2026-06-23T00:00:00+08:00,仅日期（按盘后处理）,关于放弃参股公司增资优先认购权暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225381704.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公告披露关于放弃参股公司增资优先认购权暨关联交易的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：证券代码：002371 证券简称：北方华创 公告编号：2026-033 北方华创科技集团股份有限公司 关于放弃参股公司增资优先认购权暨关联交易的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚 假记载、误导性陈述或者重大遗漏。 北方华创科技集团股份有限公司（以下简称“北方华创”或“公司”）于 2026 年 6 月 22 日召开第九届董事会第二次会议，审议通过了《关于放弃参股公 司增资优先认购权暨关联交易的议案》，关联董事李瑞先生已对该议案回避表决， 该议案已经公司独立董事专门会议审议通过。 本次关联交易不构成《上市公司重大资产重组管理办法》规定的重大资产重 组，根据《公司,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
35,G3-E091,药明康德,603259,医药,A股,2026-03-24T00:00:00+08:00,仅日期（按盘后处理）,关于2025年度计提资产减值准备的公告,http://static.cninfo.com.cn/finalpage/2026-03-24/1225025227.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公司披露关于2025年度计提资产减值准备的公告，核心事实为：1 证券代码：603259 证券简称：药明康德 公告编号：临 2026-010 无锡药明康德新药开发股份有限公司 关于 2025 年度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 一、2025 年度计提减值损失…,收入/利润,H2-盈利质量,冲突,高,直接,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2026-010 无锡药明康德新药开发股份有限公司 关于 2025 年度计提资产减值准备的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 一、2025 年度计提减值损失的情况 根据《企业会计准则》和相关会计政策等规定，为真实、准确地反映无锡药 明康德新药开发股份有限公司（以下简称“公司”）截至 2025 年 12 月 31 日的 财务状况及 2025 年的经营成果，公司对合并范围内的相关资产进行了清查，基 于谨慎性原则，对可能发生减值损失的相关…,2025年度计提减值损失10.70亿元并等额减少利润总额，是已量化、直接影响盈利的负面财务结果，明显降低盈利质量假设可信度。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
36,G3-E110,中芯国际,688981,芯片半导体,A股,2025-12-30T00:00:00+08:00,仅日期（按盘后处理）,独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见,http://static.cninfo.com.cn/finalpage/2025-12-30/1224907027.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公司披露独立董事关于发行股份购买资产暨关联交易相关事项的的独立意见，核心事实为：买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公…,治理/其他,无关,无关,不适用,不适用,第1页：买资产暨关联交易相关事项，基于独立判断发表如下独 立意见： 公司拟以发行股份的方式购买国家集成电路产业投资基金股份有限公司（以下简称 “国家集成电路基金”）、北京集成电路制造和装备股权投资中心（有限合伙）（以下简称 “集成电路投资中心”）、北京亦庄国际投资发展有限公司（以下简称“亦庄国投”）、中关 村发展集团股份有限公司（以下简称“中关村发展”）、北京工业发展投资管理有限公司 （以下简称“北京工投”）等 5 名交易对方（以下单称或合称“交易对方”）合计持有的中 芯北方集成电路制造（北京）有限公司（以下简称“中芯北方”）49%股权（以下简称“标 的资产”，前述交易以下简称“本次交易”）。我们已认…,该文件仅为独立董事就发行股份收购资产发表程序性意见，未新增交易完成、产能投放、需求匹配或减值结果；按程序性披露不进入核心证据链。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
37,G3-E053,中芯国际,688981,芯片半导体,A股,2026-03-27T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2025年度内部控制评价报告,http://static.cninfo.com.cn/finalpage/2026-03-27/1225037110.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露中芯国际2025年度内部控制评价报告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：公司代码：688981 公司简称：中芯国际 中芯国际集成电路制造有限公司 2025年度内部控制评价报告 中芯国际集成电路制造有限公司全体股东： 根据《企业内部控制基本规范》及其配套指引的规定和其他内部控制监管要求（以下简称企业内部 控制规范体系），结合本公司（以下简称“公司”）内部控制制度和评价办法，在内部控制日常监督和专 项监督的基础上，我们对公司2025年12月31日（内部控制评价报告基准日）的内部控制有效性进行了评 价。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
38,G3-E119,小鹏汽车,09868,新能源汽车,港股,2024-07-05T21:18:17+08:00,精确,翌日披露报表,http://static.cninfo.com.cn/finalpage/2024-07-05/1220542969.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公告披露翌日披露报表相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF305 ∉  ၵರ஼੝Ḹі ٺܢ ⦁ğௐ ⊯Ⅲğࢌ ඳ଀ẀğඳĎ ರ௹ğ ୍ᄅರ  ඳ(&.⊈ಊ ၂ᅣᾳb ၂ᅣᾳ ٳٺܢܢ⦁ ""෮ഈ൧ ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼܢ ṉọ ࡱ Ďṉọ Ď⅂ ଢ Ⴕၘứ ܢ б 䩏 ṉọ ଢ ứྛԛ൲ᾁ 䩏 ⊺⅂ ᾵թ 䩏 ୍ᄅರ          ௹⃴ ܢ ܄ ܢ Ẫ໊ ṉọರ௹ ୍ᄅರ     ),%  ୍ᄅರ         ",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
39,G3-E085,吉利汽车,00175,新能源汽车,港股,2024-05-05T18:14:13+08:00,精确,(1) 有关建议分拆之最新进展；(2) 建议认购事项；及 (3) 董事会会议通告,http://static.cninfo.com.cn/finalpage/2024-05-05/1219973370.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公司披露(1) 有关建议分拆之最新进展；(2) 建议认购事项；及 (3) 董事会会议通告，核心事实为：性亦不發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 本公佈僅供參考，並不構成且不擬作為在香港、美國或其他地區邀請或要約收購、購買 或認購證券，或要約出售或招攬任何要約購買證券。在並無登記或不獲豁免登記情況 下，證券不得在美國提呈發售或出售。本公佈及其所載任何…,产能/资本开支,H3-产能与扩张,中性,中,直接,第1页：性亦不發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 本公佈僅供參考，並不構成且不擬作為在香港、美國或其他地區邀請或要約收購、購買 或認購證券，或要約出售或招攬任何要約購買證券。在並無登記或不獲豁免登記情況 下，證券不得在美國提呈發售或出售。本公佈及其所載任何內容概不構成任何合約或承 諾之基準。有關發售或邀請將僅可以招股章程形式作出，而有關招股章程可自發行人取 得，當中將載有發行人及管理層以及財務報表之詳細資料，且僅可在該等要約或邀請可 能合法有效作出之司法權區作出。 GEELY AUTO MOBILE HOL DINGS LIMI…,公告实质为建议分拆、认购及相关推进安排，直接涉及品牌和资本结构整合，但未给出经营协同、建设落地或整合损益结果，故方向中性、强度中。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
40,G3-E029,恒瑞医药,600276,医药,A股,2026-05-12T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简…,订单/合同,H1-需求与出货,支持,高,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简称“公司”或“恒瑞”）与百时美施贵 宝公司（以下简称“BMS”）达成全球战略合作及许可协议，共同推进 13 款涵盖 肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。详 情如下： 一、交易对方基本信息 BMS 是一家全球性的生物制药公司，总部位于美国新泽西州，在…,该事实直接观察到相关指标或里程碑，提高“创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
41,G3-E038,比亚迪,002594,新能源汽车,A股,2024-03-21T00:00:00+08:00,仅日期（按盘后处理）,H股公告（通函）,http://static.cninfo.com.cn/finalpage/2024-03-21/1219358761.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露H股公告（通函）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：΁ ሗуஈଣ ɚཧɚ̬ϋɧ˜ɚɤ˚ ͵ ΂О ዄ΂Оப΂f ʮ̡  ͉ʮ̡ٙ f͉ʮ̡΢໨ԫ  ໨ԫഃ ಜൟϓ΅d˸ʿԨೌ፲ဍՉ˼ ਿ๟ʿ ৿ணϾЪ̈f ტɨνБਗϞ΂ОဲਪdᏐፔ༔ ྠe Չ˼ਖ਼ุᚥਪf ˸Չ˼˙όᔷᜫʿΫૢ৔ וא ᜫɛf ༩ 3009ɽึ  ɽึʿAɽึʿ A ๟ ᑘБHɽ ึஷѓձH͉ஷՌୋEGM-1Ї EGM-3ձHGM-1Ї HGM-3ڝ  ࣸڌၣ१ (www.hkexnews.hk )fೌሞ אH։ ɽึʿHՉ΂О ͍ ʹΫf ტɨ෬ ɽึʿHՉ΂ОᚃึdԨ ึɪҳୃf ʮ̡ BYD COMPANY LIMITED ʮ̡ ΅˾໮j0121…,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
42,G3-E013,云南白药,000538,医药,A股,2026-04-30T00:00:00+08:00,仅日期（按盘后处理）,2026年一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225255634.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,"公司披露2026年一季度报告，核心事实为：26 年第一季度报告 3 一、主要财务数据 （一） 主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 上年同期 本报告期比上年同期增减（%） 营业收入（元） 11,602,596,895.18 10,841,237,721.29 7.02% 归属于上市公司股东的净利润（元） 2,0…",收入/利润,H2-盈利质量,支持,中,直接,"第3页：26 年第一季度报告 3 一、主要财务数据 （一） 主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 □是 否 本报告期 上年同期 本报告期比上年同期增减（%） 营业收入（元） 11,602,596,895.18 10,841,237,721.29 7.02% 归属于上市公司股东的净利润（元） 2,037,306,990.13 1,934,639,584.60 5.31% 归属于上市公司股东的扣除非经常性损益 的净利润（元） 1,965,172,511.31 1,887,406,845.46 4.12% 经营活动产生的现金流量净额（元） 829,016,119.34 713,…",一季度收入同比增长7.02%、归母净利润同比增长5.31%、扣非净利润同比增长4.12%，直接显示盈利保持正增长；未披露毛利率和产品结构，强度取中。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
43,G3-E120,小鹏汽车,09868,新能源汽车,港股,2024-04-17T17:18:27+08:00,精确,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公司披露自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议，核心事实为：性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 與大眾汽車集團簽訂電子電氣架構技術戰略合作框架協議 茲提述XPeng Inc. （「本公司」或「小鵬汽車」）日期為2023年7月26日及2023年12月6 日有關大眾收購小鵬汽車 4.9…,订单/合同,H2-盈利质量,支持,中,间接,第1页：性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 與大眾汽車集團簽訂電子電氣架構技術戰略合作框架協議 茲提述XPeng Inc. （「本公司」或「小鵬汽車」）日期為2023年7月26日及2023年12月6 日有關大眾收購小鵬汽車 4.99%股份及雙方達成戰略技術合作框架協議的相關公告 （「該等公告」）。小鵬汽車與大眾汽車集團共同宣佈，小鵬汽車與大眾汽車集團簽 訂電子電氣架構（「電子電氣架構」）技術戰略合作框架協議。除另有界定者外，本 公告所用詞彙與該等公告所界定者具有相同涵義。 小鵬汽車自主研發的行業領先的電子…,与大众签署电子电气架构技术合作框架协议，可通过技术服务与平台协同改善收入结构和盈利质量；尚无实际收入或毛利兑现，故为间接、中强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
44,G3-E099,云南白药,000538,医药,A股,2026-06-04T00:00:00+08:00,仅日期（按盘后处理）,关于INB301注射液获得美国食品药品监督管理局新药临床试验许可的公告,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349158.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公司披露关于INB301注射液获得美国食品药品监督管理局新药临床试验许可的公告，核心事实为：1 / 2 股票代码：000538 股票简称：云南白药 公告编号：2026-20 云南白药集团股份有限公司 关于 INB301 注射液获得美国食品药品监督管理局新药 临床试验许可的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有 虚假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“…,研发/注册,无关,无关,不适用,不适用,第1页：1 / 2 股票代码：000538 股票简称：云南白药 公告编号：2026-20 云南白药集团股份有限公司 关于 INB301 注射液获得美国食品药品监督管理局新药 临床试验许可的公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有 虚假记载、误导性陈述或重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）于近日收到美国食品药 品监督管理局（以下简称“美国FDA”）的通知，由公司申报的INB301 注射 液（以下简称“本品”）新药临床试验申请（以下简称“IND”）已获得美国 FDA 许可，同意开展临床试验，拟开发适应症为肿瘤恶病质。该产品基本情 况如下： 一、药品基本情况…,INB301仅获美国临床试验许可，尚未形成销售、渠道、毛利率、品牌投入或减值结果；云南白药三条冻结假设均不以研发管线为核心，故不进入事件证据链。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
45,G3-E079,云南白药,000538,医药,A股,2024-12-18T00:00:00+08:00,仅日期（按盘后处理）,关于2024年度第一期超短期融资券（科创票据/乡村振兴）兑付完成的公告,http://static.cninfo.com.cn/finalpage/2024-12-18/1222047993.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公告披露关于2024年度第一期超短期融资券（科创票据/乡村振兴）兑付完成的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 / 2 证券代码：000538 证券简称：云南白药 公告编码：2024-59 云南白药集团股份有限公司 关于2024年度第一期超短期融资券（科创票据/乡村振 兴）兑付完成的公告 本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚 假记载、误导性陈述或者重大遗漏。 云南白药集团股份有限公司（以下简称“公司”）分别于2023 年8 月 28 日召开第十届董事会 2023 年第五次会议及 2023 年 9 月 19 日召开的 2023 年第一次临时股东大会审议通过了 《关于申请注册发行超短期融资券 的议案》，同意公司向中国银行间市场交易商协会（以下简称“交易商协 会”）申请注册发行总额人,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
46,G3-E027,中芯国际,688981,芯片半导体,A股,2026-06-04T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2026年度股东会会议资料,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349272.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露中芯国际2026年度股东会会议资料相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：阁下如对本通函之任何内容或对应采取的行动有疑问，应咨询阁下之股票经纪或其他注册证券 交易商、银行经理、律师、专业会计师或其他专业顾问。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
47,G3-E050,兆易创新,603986,芯片半导体,A股,2026-05-30T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于完成工商变更登记的公告,http://static.cninfo.com.cn/finalpage/2026-05-30/1225339729.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新关于完成工商变更登记的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：兆易创新科技集团股份有限公司（以下简称“公司”）于 2025 年 11 月 14 日，完成 2021 年股票期权与限制性股票激励计划第四个行权期的股份登记工作， 新增股份 571,379 股，公司发行的 A 股由 667,277,972 股增加至 667,849,351 股。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
