序号,关系样本ID,事件样本ID,查询ID,公司,证券代码,行业,检索截止时间,查询假设,候选公告标题,候选原文链接,相关性等级,关系路径可成立,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
173,G3-R-E010-H3,G3-E010,603986-H3,兆易创新,603986,芯片半导体,2026-01-23T00:00:00+08:00,新品研发与产能储备按计划推进，不出现存货大额跌价,中国国际金融股份有限公司关于兆易创新科技集团股份有限公司使用A股部分募集资金向全资子公司及全资孙公司增资以实施DRAM募投项目的核查意见,http://static.cninfo.com.cn/finalpage/2026-01-23/1224946581.PDF,3-直接相关,是,第1页：1 中国国际金融股份有限公司 关于兆易创新科技集团股份有限公司 使用 A 股部分募集资金向全资子公司及全资孙公司增资 以实施 DRAM 募投项目的核查意见 中国国际金融股份有限公司（以下简称“中金公司”或“保荐机构”）作为兆易创新科 技集团股份有限公司（以下简称“兆易创新”或“公司”）2020 年非公开发行股票的保荐机 构，根据《证券发行上市保荐业务管理办法》 《上市公司募集资金监管规则》 《上海证券 交易所股票上市规则》 《上海证券交易所上市公司自律监管指引第1 号——规范运作》 等有关规定，对兆易创新使用 A 股部分募集资金向全资子公司及全资孙公司增资以实 施 DRAM 募投项目的事项进行…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
78,G3-R-E012-H1,G3-E012,00175-H1,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,3-直接相关,是,"第1页：186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,279 70 其中： 出口 30,017 37,495 -20 144,103 163,601 -12",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
139,G3-R-E012-H2,G3-E012,00175-H2,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,2-间接相关,是,"第1页：186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,279 70 其中： 出口 30,017 37,495 -20 144,103 163,601 -12",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
61,G3-R-E014-H1,G3-E014,09868-H1,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,3-直接相关,是,"第1页：Peng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
140,G3-R-E014-H2,G3-E014,09868-H2,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,2-间接相关,是,"第1页：Peng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
158,G3-R-E015-H3,G3-E015,600276-H3,恒瑞医药,600276,医药,2025-01-10T00:00:00+08:00,研发投入强度维持，管线推进不出现关键品种研发失败,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-10/1222283951.PDF,3-直接相关,是,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临2025-004 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、 误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司提交的 SHR4640 片药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、 药品的基本情况 药品名称：SHR4640 片 剂型：片剂 受理号：CXHS2500003、CXHS250000…,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
38,G3-R-E016-H1,G3-E016,00175-H1,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,新能源车型销量放量带动整体销量增长，出口贡献增量,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,3-直接相关,是,"第1页：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 374,099 216,520 73 其中： 出口 注1 40,665 40,319 1 296,128 319,121 -7 注1：出口指中華人民共和國（包括香港、澳門特",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
105,G3-R-E016-H2,G3-E016,00175-H2,吉利汽车,00175,新能源汽车,2025-10-01T23:59:59+08:00,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,未经审核之二零二五年九月销量,http://static.cninfo.com.cn/finalpage/2025-10-01/1224697779.PDF,2-间接相关,是,"第1页：286,276 206 極氪 18,257 21,333 -14 143,600 142,873 1 領克 32,902 25,803 28 241,472 195,603 23 273,125 201,949 35 2,170,189 1,489,690 46 其中： 純電動(BEVs) 99,516 64,387 55 793,724 329,334 141 插電式混動(PHEVs) 65,685 26,747 146 374,099 216,520 73 其中： 出口 注1 40,665 40,319 1 296,128 319,121 -7 注1：出口指中華人民共和國（包括香港、澳門特",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
171,G3-R-E017-H1,G3-E017,002371-H1,北方华创,002371,芯片半导体,2024-04-30T00:00:00+08:00,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,关于公司2024年度日常关联交易预计的公告,http://static.cninfo.com.cn/finalpage/2024-04-30/1219908871.PDF,2-间接相关,是,第4页：2．采购/提供燃料和动力：公司向关联企业采购/提供燃料和动力（水、电、 暖气等） ，根据国家物价管理部门规定的价格定价，若无国家物价管理部门规定 的价格，则为当地的可比市场价格或协议定价。 3．采购/销售产品：北京电控及其下属子公司为公司的上、下游配套企业， 且与公司已具有多年的业务配套供应与采购交易关系，与其发生的销售商品与 采购原材料交易属于公司的日常业务活动， 该等交易是以市场交易价格为基础， 各方平等协商确定，定价依据合理，相关交易公平、公正，符合公司整体利益。 四、关联交易目的和对上市公司的影响 公司与上述关联方的日常关联交易是公司业务发展及生产经营的需要，对 于公司的生产经营是必要…,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告通过一层清晰业务因果链影响查询假设，路径可成立但并非直接指标。
37,G3-R-E021-H1,G3-E021,600276-H1,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,3-直接相关,是,第1页：根据国家医保局、人力资源社会保障部关于印发《国家基本医疗保险、工伤 保险和生育保险药品目录（2025 年）》的通知（“《国家基本医疗保险、工伤 保险和生育保险药品目录》”以下简称“国家医保目录”），江苏恒瑞医药股份 有限公司（以下简称“恒瑞医药”或“公司”）部分产品纳入国家医保目录。,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,药品受理、临床批准或注册获批直接证明研发管线推进，并对创新药商业化假设提供可观察事实。
122,G3-R-E021-H2,G3-E021,600276-H2,恒瑞医药,600276,医药,2025-12-08T00:00:00+08:00,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,恒瑞医药关于公司药品纳入国家医保目录的公告,http://static.cninfo.com.cn/finalpage/2025-12-08/1224856686.PDF,2-间接相关,是,第1页：根据国家医保局、人力资源社会保障部关于印发《国家基本医疗保险、工伤 保险和生育保险药品目录（2025 年）》的通知（“《国家基本医疗保险、工伤 保险和生育保险药品目录》”以下简称“国家医保目录”），江苏恒瑞医药股份 有限公司（以下简称“恒瑞医药”或“公司”）部分产品纳入国家医保目录。,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,管线进展可经创新药占比和产品结构影响盈利质量，但尚未直接披露毛利率或集采影响。
22,G3-R-E028-H1,G3-E028,09868-H1,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,智能车交付量保持增长，新车型周期带动需求回升,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,3-直接相关,是,"第1页：數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年12月及第四季度 車輛交付數據。 2025年12月，小鵬汽車共交付智能電動汽車37,508 輛，同比增長2%。2025年全年總交 付量達到429,445輛，較前一年增長126%。 2025年全年，小鵬汽車在海外市場共交付智能電動汽車45,008輛，同比增長96%，並在 年底將其全球布局擴張至60個國家和地區。 值得注意的是，小鵬汽車在2025年交付的所有汽車預計能減少超過661萬噸的生命周期 溫室氣體排放，這相當於1.1億棵小樹十年的碳吸收量。 2025年，小鵬汽車加速擴張其自營充電網絡。新增超過1,100座充…",候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,候选公告直接披露了查询假设所需的核心指标或里程碑，关系路径无需额外业务前提。,公告事实直接对应查询假设中的核心业务变量，时间边界内可建立可复核关系路径。
143,G3-R-E028-H2,G3-E028,09868-H2,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,毛利率随规模与技术服务收入改善，不回落到历史低位,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,2-间接相关,是,"第1页：數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年12月及第四季度 車輛交付數據。 2025年12月，小鵬汽車共交付智能電動汽車37,508 輛，同比增長2%。2025年全年總交 付量達到429,445輛，較前一年增長126%。 2025年全年，小鵬汽車在海外市場共交付智能電動汽車45,008輛，同比增長96%，並在 年底將其全球布局擴張至60個國家和地區。 值得注意的是，小鵬汽車在2025年交付的所有汽車預計能減少超過661萬噸的生命周期 溫室氣體排放，這相當於1.1億棵小樹十年的碳吸收量。 2025年，小鵬汽車加速擴張其自營充電網絡。新增超過1,100座充…",候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,候选公告通过一层清晰业务因果链影响查询假设，可进入证据链但不是直接测量。,公告与查询假设并非同一直接指标，但可经需求、规模、产品商业化或投入产出的一层因果链建立关系。
