序号,正文样本ID,事件样本ID,公告ID,公司,证券代码,行业,披露时间,公告标题,原文链接,正文定位,正文片段,是否存在可抽取事实,事实类型,变化方向,数值下限,数值上限,单位,事实发生期,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
46,G3-B025,G3-E012,EVT-00175-00195,吉利汽车,00175,新能源汽车,2025-06-01T18:06:28+08:00,未经审核之二零二五年五月销量,http://static.cninfo.com.cn/finalpage/2025-06-01/1223738489.PDF,第1页,"發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTOMOBILE HOLDINGS LIMITED ( 235,208 46 （部） （部） (%) （部） （部） (%) 吉利 188,670 120,264 57 971,279 620,320 57 其中: 銀河 101,845 27,288 273 458,186 135,289 239 極氪 18,908 18,616 2 74,038 67,764 9 領克 27,630 21,778 27 127,827 101,561 26 235,208 160,658 46 1,173,144 789,645 49 其中： 純電動(BEVs) 95,040 34,190 178 425,924 149,947 184 插電式混動(PHEVs) 42,981 24,483 76 176,860 104,",是,销量或交付量同比,上升,46,46,%,2025-05,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
24,G3-B026,G3-E014,EVT-09868-00017,小鹏汽车,09868,新能源汽车,2024-04-02T12:07:33+08:00,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,第1页,"容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2024 年3 月及第一季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣佈與泰國、新加坡和馬來西亞知名汽車經銷商集團分別建立戰 略合作夥伴關係，並即將推出右舵版G6車型。此外，小鵬汽車宣佈正式進入德",是,销量或交付量同比,上升,29,29,%,2024-03,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
21,G3-B029,G3-E028,EVT-09868-00141,小鹏汽车,09868,新能源汽车,2026-01-01T18:52:07+08:00,自愿公告2025年12 月及第四季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2026-01-01/1224915704.PDF,第1页,"而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2025 年12 月及第四季度智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年12月及第四季度 車輛交付數據。 2025年12月，小鵬汽車共交付智能電動汽車37,508 輛，同比增長2%。2025年全年總交 付量達到429,445輛，較前一年增長126%。 2025年全年，小鵬汽車在海外市場共交付智能電動汽車45,008輛，同比增長96%，並在 年底將其全球布局擴張至60個國家和地區。 值得注意的是，小鵬汽車在2025年交付的所有汽車預計能減少超過661萬噸的生命周期 溫室氣體排放，這相當於1.1億棵小樹十年的碳吸收量。 2025年，小鵬汽車加速擴張其自營充電網絡。新增超過1,100座充電站后，充電網絡的 充電站數量達到了3,000座，此舉標誌著公司在基礎設施建設方面的一個重要里程碑。 本公司股東及潛在投資者於買賣本公",是,销量或交付量同比,上升,2,2,%,2025-12,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
1,G3-B030,G3-E092,EVT-002594-00009,比亚迪,002594,新能源汽车,2024-01-30T00:00:00+08:00,2023年度业绩预告,http://static.cninfo.com.cn/finalpage/2024-01-30/1219028933.PDF,第1页,"√同向上升 同向下降 项 目 本报告期 上年同期 归属于上市公司 股东的净利润 盈利：人民币2,900,000万元– 3,100,000万元 盈利：人民币1,662,245万元 比上年同期上升：74.46%-86.49% 扣除非经常性损 益后的净利润 盈利：人民币2,740,000万元– 2,970,000万元（注1） 盈利：人民币1,563,779万元 比上年同期上升：75.22%-89.92% 基本每股收益 盈利：人民币9.98元/股至10.67元/股 盈利：人民币5.71元/股 注1：本报告期扣除非经常性损益后的净利润是根据2023年12月22日发布的《公开 发行证券的公司信息披露解释性公告第1号——非经常性损益（2023年修订）》进行初步 测算。 二、与会计师事务所沟通情况 公司已就本次业绩预告与会计师事务所进行预沟通， 公司与会计师事务所在 业绩预告相关财务数据方面不存在分歧。 本次业绩预告相关财务数据未经会计师事务",是,其他,上升,74.46,86.49,%,2023,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
54,G3-B032,G3-E098,EVT-00175-00007,吉利汽车,00175,新能源汽车,2024-02-01T17:06:22+08:00,未经审核之二零二四年一月销量,http://static.cninfo.com.cn/finalpage/2024-02-01/1219065223.PDF,第1页,"LE HOLDINGS LIMITED 未經審核之二零二四年一月銷量 吉利汽車控股有限公司(「本公司」，連同其附屬公司統稱為「本集團」）董事會欣然宣佈， 本集團於二零二四 年一月之總銷量為213,487 部汽車，較去年同期增長約 110%，為本集團 歷史新高。詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 172,774 87,255 98 172,774 87,255 98 其中：銀河 19,223 - - 19,223 - - 極氪 12,537 3,116 302 12,537 3,116 302 領克附註1 28,176 11,066 155 28,176 11,066 155 合計 213,487 101,437 110 213,487 101,437 110 其中： 純電動(BEVs） 36,317 8,941 306 36,317",是,销量或交付量同比,上升,110,110,%,2024-01,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
44,G3-B033,G3-E009,EVT-002594-00151,比亚迪,002594,新能源汽车,2024-11-02T00:00:00+08:00,2024年10月产销快报,http://static.cninfo.com.cn/finalpage/2024-11-02/1221604106.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 536,134 307,014 3,297,044 2,419,749 36.26% 502,657 301,833 3,250,532 2,381,471 36.49% -乘用车 534,003 306,276 3,283,439 2,409,570 36.27% 500,526 301,095 3,236,927 2,371,350 36.50% -纯电动 206,499 169,855 1,379,347 1,240,452 11.20% 189,614 165,505 1,359,193 1,213,918 11.97% -插电式混合动力 327,504 136,421 1,904,092 1,169,118 62.87% 310,912 135,590 1,877,734 1,157,432 62.23% -商用车 2,131 738 13,605 10,1",是,销量或交付量同比,上升,36.49,36.49,%,2024-01至10,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
49,G3-B036,G3-E120,EVT-09868-00021,小鹏汽车,09868,新能源汽车,2024-04-17T17:18:27+08:00,自愿公告 与大众汽车集团签订电子电气架构技术战略合作框架协议,http://static.cninfo.com.cn/finalpage/2024-04-17/1219647424.PDF,第1页,1 香港交易及結算所有限公司及香港聯合交易所有限公司對本公告之內容概不負責，對其準確性或完整性亦 不發表聲明，並明確表示概不會就本公告全部或任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
3,G3-B037,G3-E081,EVT-09868-00081,小鹏汽车,09868,新能源汽车,2025-03-03T19:18:14+08:00,自愿公告2025年2月智能车交付数据,http://static.cninfo.com.cn/finalpage/2025-03-03/1222693592.PDF,第1页,"任何部分內容而產生或因依賴該等內容而引致之任何損失 承擔任何責任。 自願公告 2025 年2 月智能車交付數據 XPeng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2025年2月車輛交付數 據。 2025年2月，小鵬汽車共交付智能電動汽車30,453輛，同比增長570%。 小鵬MONA M03連續第三個月交付量超過了15,000輛。小鵬P7+自上市以來的前三個月， 累計交付已超過30,000輛。此外，小鵬汽車還發佈了小鵬P7+的用戶畫像，顯示智能駕 駛是消費者購買小鵬 P7+的主要原因之一。 2025年前兩個月，小鵬汽車交付新車共 60,803輛，與去年同期相比增長375%。 2025年2月，小鵬汽車智能導航輔助駕駛（XNGP）的城區智駕月度活躍用戶滲透率達 86%。根據小鵬汽車發佈的春節 智能駕駛使用報告，在春運期間，小鵬汽車的 智能駕 駛總里程和智能駕駛總時長分別較去年同期增長了98.2%和103.5%。同時",是,销量或交付量同比,上升,570,570,%,2025-02,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
20,G3-B038,G3-E113,EVT-002594-00313,比亚迪,002594,新能源汽车,2025-11-03T00:00:00+08:00,2025年10月产销快报,http://static.cninfo.com.cn/finalpage/2025-11-03/1224781922.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 429,808 536,134 3,643,377 3,297,044 10.50% 441,706 502,657 3,701,852 3,250,532 13.88% -乘用车 424,174 534,003 3,595,640 3,283,439 9.51% 436,856 500,526 3,655,718 3,236,927 12.94% -纯电动 219,382 206,499 1,797,558 1,379,347 30.32% 222,559 189,614 1,828,462 1,359,193 34.53% -插电式混合动力 204,792 327,504 1,798,082 1,904,092 -5.57% 214,297 310,912 1,827,256 1,877,734 -2.69% -商用车 5,634 2,131 47,737 13,",是,销量或交付量同比,上升,13.88,13.88,%,2025-01至10,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
17,G3-B039,G3-E060,EVT-002594-00159,比亚迪,002594,新能源汽车,2024-12-02T00:00:00+08:00,2024年11月产销快报,http://static.cninfo.com.cn/finalpage/2024-12-02/1221902564.PDF,第1页,"比 本月 去年同期 本年累计 去年累计 累计同比 新能源汽车 540,588 316,510 3,837,632 2,736,259 40.25% 506,804 301,903 3,757,336 2,683,374 40.02% -乘用车 536,926 315,985 3,820,365 2,725,555 40.17% 504,003 301,378 3,740,930 2,672,728 39.97% -纯电动 208,859 172,746 1,588,206 1,413,198 12.38% 198,065 170,150 1,557,258 1,384,068 12.51% -插电式混合动力 328,067 143,239 2,232,159 1,312,357 70.09% 305,938 131,228 2,183,672 1,288,660 69.45% -商用车 3,662 525 17,267 10,7",是,销量或交付量同比,上升,40.02,40.02,%,2024-01至11,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
57,G3-B040,G3-E005,EVT-00175-00439,吉利汽车,00175,新能源汽车,2026-07-01T18:12:27+08:00,未经审核之二零二六年六月销量,http://static.cninfo.com.cn/finalpage/2026-07-01/1225403705.PDF,第1页,"核之 二零二 六 年 六 月 銷量 吉利汽車控股有限公司( 「 本公司 」， 連同其附屬公司統稱為 「 本集團 」 ） 董事會欣然宣佈， 本集團於二零二 六 年 六 月 的 汽車 總銷量為240,799 部， 較去年同期增長約2% 。 詳細如下： 品牌 本月 （部） 去年同期 （部） 同比變動 (%) 今年累計 （部） 去年同期累計 （部） 同比變動 (%) 吉利 186,564 193,024 -3 1,100,373 1,164,303 -5 其中: 銀河 108,206 90,222 20 519,793 548,408 -5 領克 19,066 26,310 -28 144,215 154,137 -6 極氪 35,169 16,702 111 178,370 90,740 97 合計 240,799 236,036 2 1,422,958 1,409,180 1 其中： 純電動汽車(BEVs) 103,522 84,8",是,销量或交付量同比,上升,2,2,%,2026-06,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,正文给出了明确数值、口径与对应期间，可作为结构化经营事实抽取。,正文明确披露数值、比较基准和对应经营期间，可作为结构化事实抽取。
37,G3-B042,G3-E004,EVT-603986-00507,兆易创新,603986,芯片半导体,2026-07-30T00:00:00+08:00,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,第1页,重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,否,不适用,不适用,,,,,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,4,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,4,4,正文主要为治理、程序、研发审批或框架性披露，未提供可按既定事实类型抽取的新增经营数值及比较口径。,正文主要披露治理、审批、制度或阶段性事项，未提供可按目标口径抽取的经营数值与比较基准。
