序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_status,gold_source,gold_version,annotator_a_id,annotator_b_id,annotator_a_confidence,annotator_b_confidence,annotator_a_reason,annotator_b_reason
78,G3-E019,比亚迪,002594,新能源汽车,A股,2026-03-03T00:00:00+08:00,仅日期（按盘后处理）,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,http://static.cninfo.com.cn/finalpage/2026-03-03/1224992511.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF301 ∉  ⊈ಊṉọᄅḸі ٺ୍ᄅರ ⊯Ⅲࢌ ඳ ඳ଀Ẁඳ ರ௹ ୍ᄅರ Чṉọ ٳٺܢܢ⦁ )෮ഈ൧ 䩏 ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼ Ἰ⚙⊈ಊսὂ  3.# 䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#     㦆ഒ  3.# ᾵թ     3.#  3.#     ٳٺܢܢ⦁ ""෮ഈ൧ 䩏 ڎ ⊈ಊսὂ ೂഈ൧  䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#    …",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
73,G3-E022,比亚迪,002594,新能源汽车,A股,2025-03-18T00:00:00+08:00,仅日期（按盘后处理）,公司章程（2025年3月）,http://static.cninfo.com.cn/finalpage/2025-03-18/1222822328.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露公司章程（2025年3月）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 比亚迪股份有限公司章程 （一间于中华人民共和国成立之股份有限公司） 2025 年 3 月,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
68,G3-E023,兆易创新,603986,芯片半导体,A股,2025-10-29T00:00:00+08:00,仅日期（按盘后处理）,兆易创新第五届董事会第六次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-10-29/1224754268.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新第五届董事会第六次会议决议公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：兆易创新科技集团股份有限公司（以下简称公司）第五届董事会第六次会议 的会议通知和材料已于 2025 年 10 月 23 日以电子邮件方式发出，会议于 2025 年 10 月 28 日以现场结合通讯方式召开。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
106,G3-E024,中芯国际,688981,芯片半导体,A股,2025-04-01T00:00:00+08:00,仅日期（按盘后处理）,港股公告：翌日披露报表,http://static.cninfo.com.cn/finalpage/2025-04-01/1222973643.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露港股公告：翌日披露报表相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF305 ∉  ၵರ஼੝Ḹі ٺܢ ⦁ğௐ ⊯Ⅲğࢌ ඳ଀Ẁğඳ ರ௹ğ ୍ᄅರ  ඳ(&.⊈ಊ ၂ᅣᾳb ၂ᅣᾳ ٳٺܢܢ⦁ ҂ℳႨ෮ഈ൧ ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼܢۖ ṉọ ࡱ Ďṉọ Ď⅂ ଢ Ⴕၘứ ܢ б 䩏 ṉọ ଢ ứྛԛ൲ᾁ 䩏 ⊺⅂ ᾵թ 䩏 ୍ᄅರ          ௹⃴ ܢ ί὏ ᧄ୍ᄅರὤ㍇ₑ ṉọರ௹ ୍ᄅರ     ),% ",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
94,G3-E026,比亚迪,002594,新能源汽车,A股,2025-01-08T00:00:00+08:00,仅日期（按盘后处理）,H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）,http://static.cninfo.com.cn/finalpage/2025-01-08/1222257663.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露H股公告（股份发行人及根据《上市规则》第十九B章上市的香港预托证券发行人的证券变动月报表）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF301 ∉  ⊈ಊṉọᄅḸі ٺ୍ᄅರ ⊯Ⅲࢌ ඳ ඳ଀Ẁඳ ರ௹ ୍ᄅರ Чṉọ ٳٺܢܢ⦁ )෮ഈ൧ 䩏 ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼ Ἰ⚙⊈ಊսὂ  䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#     㦆ഒ  3.# ᾵թ     3.#  3.#     ٳٺܢܢ⦁ ""෮ഈ൧ 䩏 ڎ ⊈ಊսὂ ೂഈ൧  䪌ૼ ଢ ૫ᆴЧ ᾵թ     3.#  3.#     㦆ഒ…",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
46,G3-E027,中芯国际,688981,芯片半导体,A股,2026-06-04T00:00:00+08:00,仅日期（按盘后处理）,中芯国际2026年度股东会会议资料,http://static.cninfo.com.cn/finalpage/2026-06-04/1225349272.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露中芯国际2026年度股东会会议资料相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：阁下如对本通函之任何内容或对应采取的行动有疑问，应咨询阁下之股票经纪或其他注册证券 交易商、银行经理、律师、专业会计师或其他专业顾问。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
40,G3-E029,恒瑞医药,600276,医药,A股,2026-05-12T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225300018.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于与百时美施贵宝公司签署战略合作及许可协议的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简…,订单/合同,H1-需求与出货,支持,高,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-071 江苏恒瑞医药股份有限公司 关于与百时美施贵宝公司 签署战略合作及许可协议的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 江苏恒瑞医药股份有限公司（以下简称“公司”或“恒瑞”）与百时美施贵 宝公司（以下简称“BMS”）达成全球战略合作及许可协议，共同推进 13 款涵盖 肿瘤学、血液学及免疫学的早期项目，以加速创新药物研发，惠及全球患者。详 情如下： 一、交易对方基本信息 BMS 是一家全球性的生物制药公司，总部位于美国新泽西州，在…,该事实直接观察到相关指标或里程碑，提高“创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进”的可信度。,该事实提高H1-需求与出货的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
76,G3-E030,恒瑞医药,600276,医药,A股,2026-01-06T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-01-06/1224919037.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药物临床试验批准通知书的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-002 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”…,研发/注册,H3-产能与扩张,支持,中,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-002 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司福建盛迪医 药有限公司收到国家药品监督管理局（以下简称“国家药监局”）核准签发关于 HRS9531 注射液、HRS-5817 注射液的《药物临床试验批准通知书》，将于近期开 展临床试验。现将相关情况公告如下： 一、药物的基本情况 药物名称 HRS9531 注射液 HRS-…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
10,G3-E031,药明康德,603259,医药,A股,2024-01-03T00:00:00+08:00,仅日期（按盘后处理）,关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告,http://static.cninfo.com.cn/finalpage/2024-01-03/1218791594.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露关于2019年限制性股票与股票期权激励计划首次授予股票期权2023年第四季度自主行权结果暨股份变动公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：重要内容提示： 本次行权股票数量： 无锡药明康德新药开发股份有限公司（以下简称 “公司”）2023 年第四季度激励对象行权且完成股份过户登记的股票期权数量 为 213,405 股，占 2019 年限制性股票与股票期权激励计划首次授予股票期权第 三个行权期（以下简称“本次行权”）可行权股票期权总量的12.62%。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
27,G3-E032,中芯国际,688981,芯片半导体,A股,2025-08-05T00:00:00+08:00,仅日期（按盘后处理）,华夏上证科创板50成份交易型开放式指数证券投资基金关于所持中芯国际集成电路制造有限公司境内股票变动的提示性公告,http://static.cninfo.com.cn/finalpage/2025-08-05/1224386813.PDF,成熟制程代工龙头，国产替代与产能利用率回升支撑收入，折旧与价格压力是盈利的主要观察点,成熟制程产能利用率与晶圆出货保持增长，国产替代需求是主要驱动,毛利率随产能利用率回升，折旧压力不导致盈利持续恶化,资本开支与扩产节奏匹配下游需求，先进制程投入不出现大额减值,公告披露华夏上证科创板50成份交易型开放式指数证券投资基金关于所持中芯国际集成电路制造有限公司境内股票变动的提示性公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：重要内容提示：  本公告是根据中国证监会《创新企业境内发行股票或存托凭证上市后持 续监管实施办法（试行）》第四章第二节的规定披露的提示性公告。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
99,G3-E033,药明康德,603259,医药,A股,2024-03-09T00:00:00+08:00,仅日期（按盘后处理）,关于回购注销部分股票通知债权人的公告,http://static.cninfo.com.cn/finalpage/2024-03-09/1219267101.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公告披露关于回购注销部分股票通知债权人的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：1 证券代码：603259 证券简称：药明康德 公告编号：临 2024-022 无锡药明康德新药开发股份有限公司 关于回购注销部分股票通知债权人的公告 公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 2023 年 5 月 31 日，无锡药明康德新药开发股份有限公司（以下简称“本公 司”或“公司”）召开2022 年年度股东大会、2023 年第一次 A 股类别股东会议 和2023 年第一次 H 股类别股东会议，审议通过了《关于给予董事会回购公司A 股和/或 H 股股份一般性授权的议案》 ，授权董事会按照所适用的法律法,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
93,G3-E036,恒瑞医药,600276,医药,A股,2026-07-08T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药物临床试验批准通知书的公告,http://static.cninfo.com.cn/finalpage/2026-07-08/1225413220.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药物临床试验批准通知书的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-096 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”…,研发/注册,H3-产能与扩张,支持,中,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-096 江苏恒瑞医药股份有限公司 关于获得药物临床试验批准通知书的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司苏州盛迪亚 生物医药有限公司收到国家药品监督管理局（以下简称“国家药监局”）核准签 发关于 SHR-4685 注射液的《药物临床试验批准通知书》，将于近期开展临床试 验。现将相关情况公告如下： 一、药物的基本情况 药物名称：SHR-4685 注射液 剂 型：注射剂 申请事…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,该事实提高H3-产能与扩张的可信度；判断基于公告直接披露的业务指标、阶段进展或风险信息。
41,G3-E038,比亚迪,002594,新能源汽车,A股,2024-03-21T00:00:00+08:00,仅日期（按盘后处理）,H股公告（通函）,http://static.cninfo.com.cn/finalpage/2024-03-21/1219358761.PDF,新能源汽车销量与出口结构改善支撑收入，垂直一体化对冲价格战，需跟踪毛利率与海外扩张落地,新能源汽车销量保持增长，出口占比提升对冲国内价格压力,规模效应与垂直一体化维持毛利率，价格战不导致盈利持续恶化,海外工厂与产能扩张按计划落地，不出现大额投资减值,公告披露H股公告（通函）相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：΁ ሗуஈଣ ɚཧɚ̬ϋɧ˜ɚɤ˚ ͵ ΂О ዄ΂Оப΂f ʮ̡  ͉ʮ̡ٙ f͉ʮ̡΢໨ԫ  ໨ԫഃ ಜൟϓ΅d˸ʿԨೌ፲ဍՉ˼ ਿ๟ʿ ৿ணϾЪ̈f ტɨνБਗϞ΂ОဲਪdᏐፔ༔ ྠe Չ˼ਖ਼ุᚥਪf ˸Չ˼˙όᔷᜫʿΫૢ৔ וא ᜫɛf ༩ 3009ɽึ  ɽึʿAɽึʿ A ๟ ᑘБHɽ ึஷѓձH͉ஷՌୋEGM-1Ї EGM-3ձHGM-1Ї HGM-3ڝ  ࣸڌၣ१ (www.hkexnews.hk )fೌሞ אH։ ɽึʿHՉ΂О ͍ ʹΫf ტɨ෬ ɽึʿHՉ΂ОᚃึdԨ ึɪҳୃf ʮ̡ BYD COMPANY LIMITED ʮ̡ ΅˾໮j0121…,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
120,G3-E039,吉利汽车,00175,新能源汽车,港股,2026-08-02T18:14:26+08:00,精确,月报表截至31/7/2026,http://static.cninfo.com.cn/finalpage/2026-08-02/1225452827.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公告披露月报表截至31/7/2026相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：FF301 ∉  ⊈ಊṉọᄅḸі ٺ୍ᄅರ ⊯Ⅲࢌ ඳ ඳ଀Ẁඳ ರ௹ ୍ᄅರ Чṉọ ٳٺܢܢ⦁ ҂ℳႨ෮ഈ൧ 䩏 ൞ ⊈ಊսὂ ೂഈ൧  䪌ૼ Ἰ⚙⊈ಊսὂ  3.# 䪌ૼ ଢ ૫ᆴЧ ᾵թ     ),%  ),%    㦆ഒ  ),% ᾵թ     ),%  ),%    Ч⊺ỡğ ),%   ",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
4,G3-E040,北方华创,002371,芯片半导体,A股,2025-11-06T00:00:00+08:00,仅日期（按盘后处理）,关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告,http://static.cninfo.com.cn/finalpage/2025-11-06/1224788384.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公告披露关于开立募集资金暂时补充流动资金专项账户并签订募集资金三方监管协议的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：一、募集资金基本情况 经中国证券监督管理委员会出具的《关于核准北方华创科技集团股份有限公 司非公开发行股票的批复》（证监许可[2021]2710 号）核准，北方华创科技集团 股份有限公司（以下简称“公司”）非公开发行人民币普通股（A 股）27,960,526 股，每股发行价为人民币 304 元，共计募集资金总额人民币 8,499,999,904.00 元， 扣除各项发行费用人民币 47,913,170.30 元（不含增值税），实际募集资金净额 为人民币 8,452,086,733.70 元。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
29,G3-E042,兆易创新,603986,芯片半导体,A股,2026-06-17T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于2024年股票期权激励计划第二个行权期行权结果暨股份过户登记及上市的公告,http://static.cninfo.com.cn/finalpage/2026-06-17/1225373802.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新关于2024年股票期权激励计划第二个行权期行权结果暨股份过户登记及上市的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,"第1页：重要内容提示：  本次行权股票数量为 1,250,168 股，行权股票来源于公司向激励对象定向 发行的公司 A 股普通股 647,148 股，及公司从二级市场回购的公司 A 股普通股 603,020 股。",该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A+B-consensus,20260826T141039+08:00,consensus,independent-A/B-exact-agreement,consensus-gold-v3-20260826,A,B-CODEX-FIN-01,5,5,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,公告未提供会改变需求出货、盈利质量或产能扩张判断的新增经营事实，故不进入核心证据链。
